Year,Profit/Loss
2013,8545.56
2014,11743.66
2015,-3312.1000000000004
2016,-1116.3400000000001
2017,20224.04
2018,-5284.790000000001
2019,33916.32
2020,39478.57
2021,55737.869999999995
2022,-14864.090000000004
2023,108685.56
2024,35002.13999999999
2025,8033.919999999996
