opened,closed,px_open,px_close,long_strike,short_strike,long_delta,short_delta,expiration,dte,days_held,contracts,debit,cost,entry_equity,equity_fraction,value_at_close,gross_pnl,fees,net_pnl,reason,multiple
2013-01-04,2013-01-24,66.63,66.66,69.0,70.0,0.17496,0.09201,2013-02-01,28,20,10,0.15,150.0,12330.0,0.012165450121654502,0.0,-150.0,26.0,-176.0,SL,0.0
2013-01-11,2013-01-24,67.26,66.66,70.0,71.0,0.17373,0.08267,2013-02-16,36,13,10,0.14,140.00000000000003,12297.0,0.011384890623729367,0.009999999999999998,-130.0,26.0,-156.0,SL,0.07142857142857141
2013-01-18,2013-02-15,67.07,67.75,69.0,71.0,0.23352,0.05324,2013-02-22,35,28,10,0.29000000000000004,290.00000000000006,12114.0,0.02393924385009081,0.03,-260.0,26.0,-286.0,SL,0.10344827586206895
2013-01-25,2013-02-20,67.0,67.19,69.0,71.0,0.2051,0.05007,2013-03-01,35,26,10,0.24999999999999997,249.99999999999997,11835.0,0.021123785382340513,0.03,-219.99999999999997,26.0,-245.99999999999997,SL,0.12000000000000001
2013-02-01,2013-02-20,67.66,67.19,69.0,71.0,0.27069,0.04684,2013-03-01,28,19,10,0.32999999999999996,329.99999999999994,11892.0,0.02774974772956609,0.03,-299.99999999999994,26.0,-325.99999999999994,SL,0.09090909090909091
2013-02-08,2013-02-21,67.99,66.47,70.0,72.0,0.21084,0.05465,2013-03-16,36,13,10,0.24,240.0,11859.0,0.02023779408044523,0.02,-220.0,26.0,-246.0,SL,0.08333333333333334
2013-02-15,2013-03-18,67.75,68.36,69.5,71.0,0.2173,0.07313,2013-03-22,35,31,10,0.25,250.0,11183.0,0.022355360815523563,0.04,-210.0,26.0,-236.0,SL,0.16
2013-03-08,2013-03-19,68.77,68.23,70.5,72.0,0.19618,0.05528,2013-04-05,28,11,10,0.19,190.0,11065.0,0.01717126073203796,0.030000000000000002,-160.0,26.0,-186.0,SL,0.15789473684210528
2013-02-22,2013-03-28,67.139,68.97,69.0,71.0,0.2191,0.03888,2013-03-28,34,34,10,0.28,280.00000000000006,10721.0,0.026116966700867463,0.0,-280.00000000000006,26.0,-306.00000000000006,EXP,0.0
2013-03-01,2013-04-03,67.38,68.41,69.5,70.5,0.19257,0.08024,2013-04-05,35,33,10,0.18,180.0,10628.0,0.016936394429808054,0.019999999999999997,-160.0,26.0,-186.0,SL,0.1111111111111111
2013-03-22,2013-04-05,68.59,67.861,71.0,72.0,0.16595,0.06609,2013-04-26,35,14,10,0.15,150.0,10333.0,0.014516597309590632,0.010000000000000002,-139.99999999999997,26.0,-165.99999999999997,SL,0.06666666666666668
