category,case,ending_equity,cagr,max_drawdown,volatility,sharpe,orders,entries,fees
baseline,baseline,484043934.78749734,0.9598874682375422,-0.5101208048211702,0.564988380031924,1.4732406231115942,613,307,13251616.803489685
benchmark,SPY_buy_hold,194380.51036542334,0.15005293505030215,-0.33717269301235475,0.16531415714661576,0.9305672533045983,1,1,0.0
benchmark,QQQ_buy_hold,357639.28954225086,0.19885904693928613,-0.3511871954086314,0.20527123971504,0.9885285648795322,1,1,0.0
benchmark,TQQQ_buy_hold,5085525.028270203,0.43667328378144177,-0.8165984755933584,0.6081839903715234,0.9047451945072893,1,1,0.0
parameter_sensitivity,rsi_period=7,42583437.671247095,0.6606201956793256,-0.5999416971999072,0.5807223921138347,1.1593136382186926,901,451,3424237.167528592
parameter_sensitivity,rsi_period=14,131524465.44944027,0.7933147556543569,-0.5733197886104651,0.5569359352895137,1.3284835704680023,393,197,2002297.4007149825
parameter_sensitivity,spy_sma_period=150,169239598.76239055,0.8244021425814232,-0.7018062597564207,0.55893997263861,1.3553501144683016,697,349,4922132.763375151
parameter_sensitivity,spy_sma_period=175,237077570.92011076,0.8668075073040111,-0.5233284516027155,0.5635739432923895,1.389077992916604,653,327,8038505.285642136
parameter_sensitivity,spy_sma_period=225,197059807.79325855,0.8434280438627677,-0.581297690180254,0.5636883920461268,1.3683122654283872,609,305,5455280.252572534
parameter_sensitivity,spy_sma_period=250,63072953.025357395,0.7056891643250338,-0.6331807097688635,0.5670606658228255,1.2267723192804525,587,294,2127404.578581961
parameter_sensitivity,qqq_sma_period=15,484043934.78749734,0.9598874682375422,-0.5101208048211702,0.564988380031924,1.4732406231115942,613,307,13251616.803489685
parameter_sensitivity,qqq_sma_period=25,484043934.78749734,0.9598874682375422,-0.5101208048211702,0.564988380031924,1.4732406231115942,613,307,13251616.803489685
parameter_sensitivity,qqq_sma_period=30,484043934.78749734,0.9598874682375422,-0.5101208048211702,0.564988380031924,1.4732406231115942,613,307,13251616.803489685
parameter_sensitivity,tqqq_sma_period=15,308006120.9223295,0.9004133996931409,-0.5595604088812284,0.568435241898335,1.4131068649333702,647,324,8764152.793010626
parameter_sensitivity,tqqq_sma_period=25,205263015.05630153,0.8485602943897732,-0.5943994397679364,0.5619427210376513,1.3736870146864404,631,316,7057230.904520831
parameter_sensitivity,tqqq_sma_period=30,225323135.2118091,0.8603475077530514,-0.5558040464555605,0.5613932444316412,1.3861522059773799,649,325,7546391.811652996
parameter_sensitivity,qqq_overbought=78,464163447.7233142,0.954292386746671,-0.5091272903633742,0.5759719982066946,1.4481460364850516,705,353,19151570.314055867
parameter_sensitivity,qqq_overbought=80,504310029.83291173,0.9653748533932989,-0.5104854714008044,0.5639805928487048,1.4797700813068537,625,313,14584332.943898955
parameter_sensitivity,qqq_overbought=82,404141244.3076533,0.935931951086246,-0.5101688371672615,0.5618230069785187,1.4564840289108407,581,291,11058731.165983109
parameter_sensitivity,qqq_overbought=84,218555342.43045738,0.8564841230914524,-0.5107324961562785,0.5570731359820432,1.3892072891509695,557,279,6153770.0381829245
parameter_sensitivity,spy_overbought=76,265836209.7343114,0.8814344262029175,-0.5066292605438388,0.575288592121453,1.3828771135069335,685,343,9726760.94231784
parameter_sensitivity,spy_overbought=78,378150924.5264809,0.9271797431765416,-0.5108375709285733,0.5625460243874927,1.4472765353224641,641,321,11229157.773287963
parameter_sensitivity,spy_overbought=82,640304185.8349352,0.9976234012234222,-0.5104351396665838,0.5641490399806708,1.5084101533810588,569,285,15328144.46316864
parameter_sensitivity,spy_overbought=84,522499905.1348249,0.970127808286064,-0.5093357930763787,0.5630108940076073,1.4857098428260156,565,283,12605427.089852335
parameter_sensitivity,oversold=25,291056010.5978857,0.8930946706645495,-0.49281211032525507,0.5664543188421078,1.4101717991121288,563,282,6286043.223988367
parameter_sensitivity,oversold=28,394123214.6652272,0.9326222749347286,-0.4648190009981924,0.5674473331841504,1.4454565832965596,611,306,9409877.43008759
parameter_sensitivity,oversold=32,445396900.52379227,0.9488020136156745,-0.6002154770109072,0.5689835221249618,1.4560968123022136,625,313,12679258.565702992
parameter_sensitivity,oversold=35,459869799.02593243,0.9530547231628459,-0.5606113431744745,0.5714080706684425,1.4561053035531732,641,321,14850196.859419785
parameter_sensitivity,uvxy_trigger=70,379903017.1394135,0.927787118250005,-0.5101154596884236,0.5648365213919138,1.4441593165380586,621,311,10413699.926175391
parameter_sensitivity,uvxy_trigger=72,484043934.78749734,0.9598874682375422,-0.5101208048211702,0.564988380031924,1.4732406231115942,613,307,13251616.803489685
parameter_sensitivity,uvxy_trigger=76,411580597.9689696,0.9383406020228191,-0.5101208048211702,0.5682292464369423,1.4498013172308852,615,308,11274773.050698042
parameter_sensitivity,uvxy_trigger=78,305057719.2819125,0.8991677423380855,-0.5513151033623389,0.5620982142915487,1.4241271797010073,613,307,8369262.895335802
parameter_sensitivity,uvxy_extreme=80,454372421.49766314,0.9514542642712278,-0.5101208048211702,0.5744614240704803,1.4488257600152443,615,308,12445634.207206147
parameter_sensitivity,uvxy_extreme=82,562303515.7276134,0.9800123520957489,-0.5101208048211702,0.572665398381173,1.4765003984843583,615,308,15388865.378790777
parameter_sensitivity,uvxy_extreme=86,484043934.78749734,0.9598874682375422,-0.5101208048211702,0.564988380031924,1.4732406231115942,611,306,13251616.803489683
parameter_sensitivity,uvxy_extreme=88,400083415.41918933,0.9346006712869017,-0.5101208048211702,0.5664542706969288,1.4479350618891456,611,306,10961493.61196682
parameter_sensitivity,sqqq_extreme=27,484043934.78749734,0.9598874682375422,-0.5101208048211702,0.564988380031924,1.4732406231115942,613,307,13251616.803489685
parameter_sensitivity,sqqq_extreme=29,484043934.78749734,0.9598874682375422,-0.5101208048211702,0.564988380031924,1.4732406231115942,613,307,13251616.803489685
parameter_sensitivity,sqqq_extreme=33,484043934.78749734,0.9598874682375422,-0.5101208048211702,0.564988380031924,1.4732406231115942,613,307,13251616.803489685
parameter_sensitivity,sqqq_extreme=35,484043934.78749734,0.9598874682375422,-0.5101208048211702,0.564988380031924,1.4732406231115942,613,307,13251616.803489685
parameter_sensitivity,sqqq_trend=30,319233110.8021081,0.9050570899419532,-0.5100720343579941,0.5649428284889584,1.4229540822526203,567,284,8683912.417012462
parameter_sensitivity,sqqq_trend=32,386642865.2709467,0.9300994553523001,-0.5100776463482328,0.5641542110944445,1.447342191562066,599,300,10656773.957291715
parameter_sensitivity,sqqq_trend=36,267047558.91112763,0.8820176061519096,-0.5100643109524052,0.5618723384950339,1.4062262155351077,621,311,8819364.334059937
parameter_sensitivity,sqqq_trend=38,126985668.77756396,0.7890267715743771,-0.5100443428886228,0.5637260225789119,1.3132639969796667,621,311,5209419.144454302
allocation,allocation=50%,4943379.585776494,0.4338996088256242,-0.3071587742487317,0.2932129773063556,1.3788735666177272,613,307,127160.9263253299
allocation,allocation=75%,80995635.76716687,0.7350187000267481,-0.42917701444143697,0.44435054124414847,1.4637257964233468,613,307,2159041.4650147264
allocation,allocation=90%,303788978.04866195,0.8986282615836085,-0.4895486546271971,0.5330879479970125,1.4695256742280138,613,307,8260921.652876252
execution_cost,cost=0bps,625896262.4216878,0.9945266733525062,-0.5003034308105772,0.5646875505171844,1.5047966901529843,613,307,0.0
execution_cost,cost=10bps,380001186.1235646,0.9278210719372739,-0.5191423706375087,0.5636792702271899,1.4460885290609715,613,307,21456516.890721057
execution_cost,cost=25bps,160295229.37109485,0.8176618187948379,-0.541941899392537,0.5616613796928498,1.3448791170823469,613,307,24982519.509909414
execution_cost,cost=50bps,48777983.79434432,0.6760657790670694,-0.5829612371670231,0.5628330815412628,1.1992065585097644,613,307,18390609.37141337
execution_delay,delay=1d,40839300.07338275,0.6558928255535743,-0.6763908351701369,0.5937767641349692,1.1427515405456719,535,268,1283612.8347931483
execution_delay,delay=2d,6592852.180050978,0.4623222024604825,-0.6451128074451618,0.5741549547735897,0.9513326010607133,477,239,209453.8716142873
branch_ablation,no_uvxy,58128171.26996844,0.6962228229212597,-0.5988842725573101,0.5502776293723548,1.238247997974326,399,200,884178.8562004579
branch_ablation,no_oversold_dip,106059166.6230328,0.7671999184545166,-0.5030465140455678,0.5709492479153412,1.2853092477197707,545,273,3325104.485823338
branch_ablation,no_inverse,163362757.30946642,0.8200120874290577,-0.5062015712561432,0.5320590561270561,1.392208283314091,567,284,4922288.681541479
branch_ablation,simple_regime,2023053.712034573,0.3491758332196624,-0.5626171708981925,0.44881380934921455,0.895861726993281,133,67,26241.93481087
hysteresis,"confirm=2,hold=0",113464767.12213098,0.7753495314435828,-0.6006144439289518,0.5819510202849301,1.275158095569735,327,164,1303947.6204047513
hysteresis,"confirm=3,hold=0",8952233.203189002,0.4931371485095992,-0.7984089098668974,0.5682191206923888,0.9949369927004409,199,100,130873.40986944915
hysteresis,"confirm=1,hold=2",494015998.360922,0.9626137845269158,-0.5115214486253672,0.5811734626810704,1.4452742105872423,535,268,13290100.07564378
hysteresis,"confirm=1,hold=3",87275424.03147882,0.7438730337358845,-0.5529440830397262,0.5785839117038949,1.248113430814873,477,239,2260613.3474826314
hysteresis,"confirm=2,hold=2",113464767.12213098,0.7753495314435828,-0.6006144439289518,0.5819510202849301,1.275158095569735,327,164,1303947.6204047513
hysteresis,"confirm=2,hold=3",149875105.61086768,0.8093525426080519,-0.5958337339685957,0.5806378266596395,1.3099960073905736,313,157,1702493.6564023998
chronological_holdout,2012-2017,345216.50470785145,0.5502878577740444,-0.36522964144456815,0.38767728986193445,1.3273021046583555,189,95,9401.989559898375
chronological_holdout,2018-2021,615055.3205704642,1.2295287652813962,-0.5571785832706961,0.605147234536577,1.623471706411377,181,91,5298.366836540087
chronological_holdout,2022-latest,406980.3307566896,0.8178341665304021,-0.4497683925683488,0.6385045966027536,1.2455695276006071,245,123,10924.446732544127
