date,equity,holding,branch,cash,shares
2012-01-03,25001.33194213275,TQQQ,bull_trend,1250.127658865491,66761
2012-01-04,25285.56890072588,TQQQ,bull_trend,1250.127658865491,66761
2012-01-05,25877.210102758447,TQQQ,bull_trend,1250.127658865491,66761
2012-01-06,26131.67817472581,TQQQ,bull_trend,1250.127658865491,66761
2012-01-09,25923.46906640295,TQQQ,bull_trend,1250.127658865491,66761
2012-01-10,26429.180015496055,TQQQ,bull_trend,1250.127658865491,66761
2012-01-11,26604.331374100486,TQQQ,bull_trend,1250.127658865491,66761
2012-01-12,26905.128046861926,TQQQ,bull_trend,1250.127658865491,66761
2012-01-13,26610.927006981412,TQQQ,bull_trend,1250.127658865491,66761
2012-01-17,27291.852982929984,TQQQ,bull_trend,1250.127658865491,66761
2012-01-18,28326.380487344304,TQQQ,bull_trend,1250.127658865491,66761
2012-01-19,28868.38233952884,TQQQ,bull_trend,1250.127658865491,66761
2012-01-20,28746.107463411132,TQQQ,bull_trend,1250.127658865491,66761
2012-01-23,28742.79870399002,TQQQ,bull_trend,1250.127658865491,66761
2012-01-24,28590.756930879394,TQQQ,bull_trend,1250.127658865491,66761
2012-01-25,29635.236578784028,TQQQ,bull_trend,1250.127658865491,66761
2012-01-26,29334.439906022588,TQQQ,bull_trend,1250.127658865491,66761
2012-01-27,29612.077252469102,TQQQ,bull_trend,1250.127658865491,66761
2012-01-30,29658.33820574645,TQQQ,bull_trend,1250.127658865491,66761
2012-01-31,29757.52538233165,TQQQ,bull_trend,1250.127658865491,66761
2012-02-01,30458.18652646903,TQQQ,bull_trend,1250.127658865491,66761
2012-02-02,30758.989168129006,TQQQ,bull_trend,1250.127658865491,66761
2012-02-03,31560.237840291426,UVXY,bull_overbought,31560.237840291426,0
2012-02-06,31560.237840291426,UVXY,bull_overbought,31560.237840291426,0
2012-02-07,31560.237840291426,UVXY,bull_overbought,31560.237840291426,0
2012-02-08,31560.237840291426,UVXY,bull_overbought,31560.237840291426,0
2012-02-09,31560.237840291426,UVXY,bull_overbought,31560.237840291426,0
2012-02-10,31560.237840291426,UVXY,bull_overbought,31560.237840291426,0
2012-02-13,31678.34256315901,TQQQ,bull_trend,1578.140951938174,62505
2012-02-14,31941.37468705251,TQQQ,bull_trend,1578.140951938174,62505
2012-02-15,32362.254610786575,UVXY,bull_overbought,32362.254610786575,0
2012-02-16,33534.89415065719,TQQQ,bull_trend,1618.4056663341617,64506
2012-02-17,33263.44146393014,TQQQ,bull_trend,1618.4056663341617,64506
2012-02-21,33531.70484159661,TQQQ,bull_trend,1618.4056663341617,64506
2012-02-22,33110.14508430434,TQQQ,bull_trend,1618.4056663341617,64506
