date,equity,holding,shares,cash,tqqq_close,qqq_close,macd,signal_line
2010-02-11,100000.0,CASH,0.0,100000.0,0.205581933259964,37.934051250702176,-0.5016930302863614,-0.43823173518417236
2010-02-12,103166.23507074728,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.20642320811748505,38.01222495384216,-0.4475816678931466,-0.44010172172596723
2010-02-16,107162.51134725088,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.21441927552223206,38.498668408156576,-0.3612814740170478,-0.4243376721841834
2010-02-17,108981.03909447428,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.21805793046951294,38.715822679448614,-0.2722273463584344,-0.3939156070190336
2010-02-18,111047.11527738895,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.22219190001487732,38.95905396142433,-0.17995022274912031,-0.35112253016505096
2010-02-19,111047.11527738895,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.22219190001487732,38.941679479441625,-0.10698861480597088,-0.302295747093235
2010-02-22,110267.53878221069,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.22063206136226654,38.86350577630164,-0.05484179726845184,-0.25280495712827833
2010-02-23,105962.48232397932,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.21201816201210022,38.35971077156894,-0.053549826102134546,-0.2129539309230496
2010-02-24,109166.81213082562,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.21842963993549347,38.75058310919624,-0.02074664425396122,-0.17451247358923194
2010-02-25,109104.57499854307,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.21830511093139648,38.74188058049527,0.004496064525625343,-0.1387107659662605
2010-02-26,110465.6371092079,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.2210284322500229,38.88086879250214,0.03530925709679167,-0.10390676135365007
2010-03-01,115203.97780295424,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.23050928115844727,39.44551652537578,0.10409138658152983,-0.06230713176661409
2010-03-02,115896.60700611398,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.23189514875411987,39.56712261154512,0.16649506314768558,-0.01654669278375416
2010-03-03,116540.34464849414,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.23318319022655487,39.6105588165019,0.2169544493069182,0.030153535634380318
2010-03-04,117826.82944161948,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.23575729131698608,39.740836855952985,0.2644082911906551,0.07700448674563529
2010-03-05,123035.00574640343,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.24617822468280792,40.34021826508242,0.3463879288228142,0.13088117516107106
2010-03-08,123691.076126735,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.24749094247817993,40.4183919682224,0.41290562774439366,0.1872860656777356
2010-03-09,125880.65842449635,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.2518720328807831,40.64426023399763,0.4783331380981295,0.24549548016181438
2010-03-10,128961.01293624782,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.25803545117378235,40.97431041890323,0.550471707819618,0.3064907256933751
2010-03-11,130148.67943234586,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.2604118287563324,41.13068457867502,0.6131916403430893,0.3678309086233179
2010-03-12,130445.58860906486,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.2610059082508087,41.13937564159379,0.6560365538596429,0.42547203767058295
2010-03-15,129567.14913302613,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.2592482566833496,41.03514403740714,0.6738135341570413,0.4751403369678746
2010-03-16,132017.11902120593,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.26415035128593445,41.29573451365596,0.7008504252684986,0.5202823546279994
2010-03-17,132932.55671109888,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.2659820318222046,41.40866100268876,0.7230546561730478,0.5608368149370091
2010-03-18,134280.78711434203,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.268679678440094,41.54764157084082,0.7432979632451833,0.5973290445986439
2010-03-19,131905.45412214595,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.2639269232749939,41.29633073433112,0.7306398839562505,0.6239912124701652
2010-03-22,135468.4833996622,TQQQ,499780.2137249538,-1.4551915228366852e-11,0.2710561156272888,41.67024900199026,0.7422244428000511,0.6476378585361424
