Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2018-11-01T13:31:00Z,SHY,69.419441592,5857,Market On Close,Filled,406589.66940434,"Monthly rotation to SHY" 
2018-11-01T20:00:00Z,SHY,0,-5857,Stop Market,Canceled,0,"Monthly stop reset" 
2018-12-03T14:31:00Z,SHY,69.588333792,-5857,Market On Close,Filled,-407578.87101974,"Monthly rotation to GLD" 
2018-12-03T14:31:00Z,GLD,116.41,3528,Market On Close,Filled,410694.48,"Monthly rotation to GLD" 
2018-12-03T21:00:00Z,GLD,0,-3528,Stop Market,Canceled,0,"Monthly stop reset" 
2019-01-02T20:50:00Z,GLD,0,-3528,Stop Market,Canceled,0,"Monthly stop reset" 
2019-02-01T20:50:00Z,GLD,0,-3528,Stop Market,Canceled,0,"Monthly stop reset" 
2019-03-01T20:50:00Z,GLD,0,-3528,Stop Market,Canceled,0,"Monthly stop reset" 
2019-04-01T19:50:00Z,GLD,0,-3528,Stop Market,Canceled,0,"Monthly stop reset" 
2019-05-01T13:31:00Z,GLD,120.4,-3528,Market On Close,Filled,-424771.2,"Monthly rotation to TQQQ" 
2019-05-01T13:31:00Z,TQQQ,7.7792906105,53907,Market On Close,Filled,419358.21894022,"Monthly rotation to TQQQ" 
2019-05-01T20:00:00Z,TQQQ,7.00136154945,-53907,Stop Market,Filled,-377422.3970462,"10.0% monthly-reset stop" 
2019-06-03T13:31:00Z,TQQQ,5.5978027185,63477,Market On Close,Filled,355331.72316222,"Monthly rotation to TQQQ" 
2019-06-03T20:00:00Z,TQQQ,0,-63477,Stop Market,Canceled,0,"Monthly stop reset" 
2019-07-01T19:50:00Z,TQQQ,0,-63477,Stop Market,Canceled,0,"Monthly stop reset" 
2019-08-01T13:31:00Z,TQQQ,7.701890658,-63477,Market On Close,Filled,-488892.91329787,"Monthly rotation to TECL" 
2019-08-01T13:31:00Z,TECL,15.638984937,32771,Market On Close,Filled,512505.17537043,"Monthly rotation to TECL" 
2019-08-01T20:00:00Z,TECL,13.623854574,-32771,Stop Market,Filled,-446467.33824455,"10.0% monthly-reset stop" 
2019-09-03T13:31:00Z,TECL,14.191896315,30394,Market On Close,Filled,431348.49659811,"Monthly rotation to TECL" 
2019-09-03T20:00:00Z,TECL,0,-30394,Stop Market,Canceled,0,"Monthly stop reset" 
2019-10-01T13:31:00Z,TECL,14.856833579,-30394,Market On Close,Filled,-451558.59980013,"Monthly rotation to TQQQ" 
2019-10-01T13:31:00Z,TQQQ,7.161281759,65328,Market On Close,Filled,467832.21475195,"Monthly rotation to TQQQ" 
2019-10-01T20:00:00Z,TQQQ,0,-65328,Stop Market,Canceled,0,"Monthly stop reset" 
2019-11-01T19:50:00Z,TQQQ,0,-65328,Stop Market,Canceled,0,"Monthly stop reset" 
2019-12-02T14:31:00Z,TQQQ,8.959342194,-65328,Market On Close,Filled,-585295.90684963,"Monthly rotation to TECL" 
