date,equity
2020-12-11,98555.16724811627
2020-12-14,99270.23080760762
2020-12-15,100331.34009301386
2020-12-16,100883.13465572725
2020-12-17,101542.66510396845
2020-12-18,101235.76888110163
2020-12-21,101046.34178866052
2020-12-22,101321.13067613318
2020-12-23,100810.8776851292
2020-12-24,101255.7096603734
2020-12-28,102276.28781686684
2020-12-29,102367.83599636742
2020-12-30,102371.1044694952
2020-12-31,102622.9624918694
2021-01-04,101173.93596833387
2021-01-05,102008.03587564976
2021-01-06,100595.00379908308
2021-01-07,103028.56247893929
2021-01-08,104353.3045384924
2021-01-11,102845.39394545267
2021-01-12,102681.86718265516
2021-01-13,103375.30932842732
2021-01-14,102822.50432291733
2021-01-15,102008.03587564976
2021-01-19,103496.30469800039
2021-01-20,105903.72590347503
2021-01-21,106750.91001394288
2021-01-22,106443.43639519229
2021-01-25,107323.32585821964
2021-01-26,107480.3466066839
2021-01-27,104484.12594873042
2021-01-28,105102.35197000019
2021-01-29,102891.18350116414
2021-02-01,105462.19333328097
2021-02-02,107182.65778603512
2021-02-03,106757.44696019847
2021-02-04,108020.02616647881
2021-02-05,108386.37354409283
2021-02-08,109112.57259562842
2021-02-09,109089.67266245229
2021-02-10,108841.04187064276
2021-02-11,109439.64674250499
2021-02-12,110051.29457495606
2021-02-16,109753.66761815196
2021-02-17,109227.03101894588
2021-02-18,108749.46275921984
2021-02-19,108275.18359390316
2021-02-22,105468.69934761421
2021-02-23,105154.68878260802
2021-02-24,106021.47342120187
2021-02-25,102325.32522442452
2021-02-26,103313.15587230999
2021-03-01,103313.15587230999
2021-03-02,103313.15587230999
2021-03-03,103313.15587230999
2021-03-04,103313.15587230999
2021-03-05,103313.15587230999
2021-03-08,103313.15587230999
2021-03-09,103313.15587230999
2021-03-10,103313.15587230999
2021-03-11,103313.15587230999
2021-03-12,103839.82919061783
2021-03-15,103948.46082872483
2021-03-16,103783.35219641306
2021-03-17,104210.67595028788
2021-03-18,101018.62108376139
2021-03-19,100963.59507432733
2021-03-22,100963.59507432733
