date,equity,holding
2026-06-12,25159.251292849836,TQQQ
2026-06-15,27338.862117434797,TQQQ
2026-06-16,25902.23324933177,TQQQ
2026-06-17,25165.418468142805,TQQQ
2026-06-18,26808.605273867903,TQQQ
2026-06-22,26719.202449466047,TQQQ
2026-06-23,24209.720828677473,TQQQ
2026-06-24,23910.299281741438,TQQQ
2026-06-25,24420.14739575511,TQQQ
2026-06-26,23456.068904544172,TQQQ
2026-06-29,25112.309093142805,TQQQ
2026-06-30,26289.598338748274,TQQQ
2026-07-01,25195.738055850325,TQQQ
2026-07-02,23925.74786725169,TQQQ
2026-07-06,24874.377772952375,TQQQ
2026-07-07,23579.669376040754,TQQQ
2026-07-08,23731.07871594554,TQQQ
2026-07-09,24849.657207156477,TQQQ
2026-07-10,25062.86796155101,TQQQ
2026-07-13,23706.35815014964,TQQQ
2026-07-14,24441.777301455793,TQQQ
2026-07-15,24262.559093142805,TQQQ
2026-07-16,23119.25767865306,TQQQ
2026-07-17,22127.36796155101,TQQQ
2026-07-20,22164.448810244856,TQQQ
2026-07-21,23313.92918744212,TQQQ
2026-07-22,22977.11796155101,TQQQ
2026-07-23,21747.299281741438,TQQQ
2026-07-24,21036.598338748274,TQQQ
2026-07-27,20851.198810244856,TQQQ
2026-07-28,20282.638763095198,TQQQ
2026-07-29,19105.348338748274,TQQQ
2026-07-30,20820.298102999983,TQQQ
2026-07-31,21228.17918744212,TQQQ
2026-08-03,22260.238055850325,TQQQ
2026-08-04,24379.978244448957,TQQQ
2026-08-05,23768.157207156477,TQQQ
2026-08-06,23517.86796155101,TQQQ
2026-08-07,24271.82871594554,TQQQ
2026-08-10,24064.799281741438,TQQQ
2026-08-11,23836.137584353743,TQQQ
2026-08-12,24311.99786725169,TQQQ
2026-08-13,25099.948810244856,TQQQ
2026-08-14,24988.708621646223,TQQQ
2026-08-17,24868.198810244856,TQQQ
2026-08-18,23672.36796155101,TQQQ
2026-08-19,23527.137584353743,TQQQ
2026-08-20,23038.919376040754,TQQQ
2026-08-21,23252.127772952375,TQQQ
2026-08-24,22584.68899884349,TQQQ
2026-08-25,22974.027301455793,TQQQ
2026-08-26,23035.82871594554,TQQQ
2026-08-27,23910.299281741438,TQQQ
2026-08-28,23462.24786725169,TQQQ
2026-08-31,23483.877772952375,TQQQ
2026-09-01,22627.948810244856,TQQQ
2026-09-02,22766.99786725169,TQQQ
2026-09-03,23517.86796155101,TQQQ
2026-09-04,23622.92918744212,TQQQ
