date,equity,holding
2026-06-12,25132.600948029023,TQQQ
2026-06-15,27305.158015900117,TQQQ
2026-06-16,25873.178432159883,TQQQ
2026-06-17,25138.748164825898,TQQQ
2026-06-18,26776.617213898164,TQQQ
2026-06-22,26687.503719025117,TQQQ
2026-06-23,24186.143397980195,TQQQ
2026-06-24,23887.69085281418,TQQQ
2026-06-25,24395.888972931367,TQQQ
2026-06-26,23434.930476837617,TQQQ
2026-06-29,25085.810664825898,TQQQ
2026-06-30,26259.289912872773,TQQQ
2026-07-01,25168.96963089035,TQQQ
2026-07-02,23903.08944290207,TQQQ
2026-07-06,24848.64934890793,TQQQ
2026-07-07,23558.13094680832,TQQQ
2026-07-08,23709.050288849336,TQQQ
2026-07-09,24824.008784943086,TQQQ
2026-07-10,25036.52953689621,TQQQ
2026-07-13,23684.409724884492,TQQQ
2026-07-14,24417.448878937226,TQQQ
2026-07-15,24238.810664825898,TQQQ
2026-07-16,23099.20925491379,TQQQ
2026-07-17,22110.52953689621,TQQQ
2026-07-20,22147.490382843476,TQQQ
2026-07-21,23293.25075882004,TQQQ
2026-07-22,22957.52953689621,TQQQ
2026-07-23,21731.69085281418,TQQQ
2026-07-24,21023.289912872773,TQQQ
2026-07-27,20838.490382843476,TQQQ
2026-07-28,20271.770335846406,TQQQ
2026-07-29,19098.289912872773,TQQQ
2026-07-30,20807.68967788742,TQQQ
2026-07-31,21214.25075882004,TQQQ
2026-08-03,22242.96963089035,TQQQ
2026-08-04,24355.849818878633,TQQQ
2026-08-05,23746.008784943086,TQQQ
2026-08-06,23496.52953689621,TQQQ
2026-08-07,24248.050288849336,TQQQ
2026-08-10,24041.69085281418,TQQQ
2026-08-11,23813.769160919648,TQQQ
2026-08-12,24288.08944290207,TQQQ
2026-08-13,25073.490382843476,TQQQ
2026-08-14,24962.610194855195,TQQQ
2026-08-17,24842.490382843476,TQQQ
2026-08-18,23650.52953689621,TQQQ
2026-08-19,23505.769160919648,TQQQ
2026-08-20,23019.13094680832,TQQQ
2026-08-21,23231.64934890793,TQQQ
2026-08-24,22566.370570831758,TQQQ
2026-08-25,22954.448878937226,TQQQ
2026-08-26,23016.050288849336,TQQQ
2026-08-27,23887.69085281418,TQQQ
2026-08-28,23441.08944290207,TQQQ
2026-08-31,23462.64934890793,TQQQ
2026-09-01,22609.490382843476,TQQQ
2026-09-02,22748.08944290207,TQQQ
2026-09-03,23496.52953689621,TQQQ
2026-09-04,23601.25075882004,TQQQ
