date,equity,holding
2026-06-12,24766.73602927737,TQQQ
2026-06-15,26911.078070292995,TQQQ
2026-06-16,25497.695624003933,TQQQ
2026-06-17,24772.80341208987,TQQQ
2026-06-18,26389.401434550808,TQQQ
2026-06-22,26301.445257792995,TQQQ
2026-06-23,23832.570135722683,TQQQ
2026-06-24,23537.993597636745,TQQQ
2026-06-25,24039.591742167995,TQQQ
2026-06-26,23091.113226542995,TQQQ
2026-06-29,24720.55341208987,TQQQ
2026-06-30,25878.79266990237,TQQQ
2026-07-01,24802.632391582058,TQQQ
2026-07-02,23553.192206035183,TQQQ
2026-07-06,24486.472113261745,TQQQ
2026-07-07,23212.713690410183,TQQQ
2026-07-08,23361.67304099612,TQQQ
2026-07-09,24462.15155662112,TQQQ
2026-07-10,24671.91229880862,TQQQ
2026-07-13,23337.352484355495,TQQQ
2026-07-14,24060.871649394558,TQQQ
2026-07-15,23884.55341208987,TQQQ
2026-07-16,22759.752020488308,TQQQ
2026-07-17,21783.91229880862,TQQQ
2026-07-20,21820.393133769558,TQQQ
2026-07-21,22951.273504863308,TQQQ
2026-07-22,22619.91229880862,TQQQ
2026-07-23,21409.993597636745,TQQQ
2026-07-24,20710.79266990237,TQQQ
2026-07-27,20528.393133769558,TQQQ
2026-07-28,19969.03308738284,TQQQ
2026-07-29,18810.79266990237,TQQQ
2026-07-30,20497.992437968776,TQQQ
2026-07-31,20899.273504863308,TQQQ
2026-08-03,21914.632391582058,TQQQ
2026-08-04,24000.072577128933,TQQQ
2026-08-05,23398.15155662112,TQQQ
2026-08-06,23151.91229880862,TQQQ
2026-08-07,23893.67304099612,TQQQ
2026-08-10,23689.993597636745,TQQQ
2026-08-11,23465.03192771487,TQQQ
2026-08-12,23933.192206035183,TQQQ
2026-08-13,24708.393133769558,TQQQ
2026-08-14,24598.952948222683,TQQQ
2026-08-17,24480.393133769558,TQQQ
2026-08-18,23303.91229880862,TQQQ
2026-08-19,23161.03192771487,TQQQ
2026-08-20,22680.713690410183,TQQQ
2026-08-21,22890.472113261745,TQQQ
2026-08-24,22233.833319316433,TQQQ
2026-08-25,22616.871649394558,TQQQ
2026-08-26,22677.67304099612,TQQQ
2026-08-27,23537.993597636745,TQQQ
2026-08-28,23097.192206035183,TQQQ
2026-08-31,23118.472113261745,TQQQ
2026-09-01,22276.393133769558,TQQQ
2026-09-02,22413.192206035183,TQQQ
2026-09-03,23151.91229880862,TQQQ
2026-09-04,23255.273504863308,TQQQ
