date,equity,holding
2026-06-12,24825.909296790556,TQQQ
2026-06-15,26970.25133780618,TQQQ
2026-06-16,25556.86889151712,TQQQ
2026-06-17,24831.976679603056,TQQQ
2026-06-18,26448.574702063994,TQQQ
2026-06-22,26360.61852530618,TQQQ
2026-06-23,23891.74340323587,TQQQ
2026-06-24,23597.16686514993,TQQQ
2026-06-25,24098.76500968118,TQQQ
2026-06-26,23150.28649405618,TQQQ
2026-06-29,24779.726679603056,TQQQ
2026-06-30,25937.965937415556,TQQQ
2026-07-01,24861.805659095244,TQQQ
2026-07-02,23612.36547354837,TQQQ
2026-07-06,24545.64538077493,TQQQ
2026-07-07,23271.88695792337,TQQQ
2026-07-08,23420.846308509306,TQQQ
2026-07-09,24521.324824134306,TQQQ
2026-07-10,24731.085566321806,TQQQ
2026-07-13,23396.52575186868,TQQQ
2026-07-14,24120.044916907744,TQQQ
2026-07-15,23943.726679603056,TQQQ
2026-07-16,22818.925288001494,TQQQ
2026-07-17,21843.085566321806,TQQQ
2026-07-20,21879.566401282744,TQQQ
2026-07-21,23010.446772376494,TQQQ
2026-07-22,22679.085566321806,TQQQ
2026-07-23,21469.16686514993,TQQQ
2026-07-24,20769.965937415556,TQQQ
2026-07-27,20587.566401282744,TQQQ
2026-07-28,20028.206354896025,TQQQ
2026-07-29,18869.965937415556,TQQQ
2026-07-30,20557.165705481963,TQQQ
2026-07-31,20958.446772376494,TQQQ
2026-08-03,21973.805659095244,TQQQ
2026-08-04,24059.24584464212,TQQQ
2026-08-05,23457.324824134306,TQQQ
2026-08-06,23211.085566321806,TQQQ
2026-08-07,23952.846308509306,TQQQ
2026-08-10,23749.16686514993,TQQQ
2026-08-11,23524.205195228056,TQQQ
2026-08-12,23992.36547354837,TQQQ
2026-08-13,24767.566401282744,TQQQ
2026-08-14,24658.12621573587,TQQQ
2026-08-17,24539.566401282744,TQQQ
2026-08-18,23363.085566321806,TQQQ
2026-08-19,23220.205195228056,TQQQ
2026-08-20,22739.88695792337,TQQQ
2026-08-21,22949.64538077493,TQQQ
2026-08-24,22293.00658682962,TQQQ
2026-08-25,22676.044916907744,TQQQ
2026-08-26,22736.846308509306,TQQQ
2026-08-27,23597.16686514993,TQQQ
2026-08-28,23156.36547354837,TQQQ
2026-08-31,23177.64538077493,TQQQ
2026-09-01,22335.566401282744,TQQQ
2026-09-02,22472.36547354837,TQQQ
2026-09-03,23211.085566321806,TQQQ
2026-09-04,23314.446772376494,TQQQ
