date,equity,holding
2026-06-12,24982.070285241163,TQQQ
2026-06-15,27140.519839684523,TQQQ
2026-06-16,25717.838824669874,TQQQ
2026-06-17,24988.17758504585,TQQQ
2026-06-18,26615.411120812452,TQQQ
2026-06-22,26526.876284997023,TQQQ
2026-06-23,24041.758563439405,TQQQ
2026-06-24,23745.24402181343,TQQQ
2026-06-25,24250.142154137648,TQQQ
2026-06-26,23295.423648278273,TQQQ
2026-06-29,24935.58383504585,TQQQ
2026-06-30,26101.44308797554,TQQQ
2026-07-01,25018.20280782417,TQQQ
2026-07-02,23760.542621056593,TQQQ
2026-07-06,24699.962527672804,TQQQ
2026-07-07,23417.824115197218,TQQQ
2026-07-08,23567.763461510694,TQQQ
2026-07-09,24675.48196737007,TQQQ
2026-07-10,24886.622714440382,TQQQ
2026-07-13,23543.28290120796,TQQQ
2026-07-14,24271.56206075386,TQQQ
2026-07-15,24094.08383504585,TQQQ
2026-07-16,22961.882434289015,TQQQ
2026-07-17,21979.622714440382,TQQQ
2026-07-20,22016.343554894484,TQQQ
2026-07-21,23154.66392842964,TQQQ
2026-07-22,22821.122714440382,TQQQ
2026-07-23,21603.24402181343,TQQQ
2026-07-24,20899.44308797554,TQQQ
2026-07-27,20715.843554894484,TQQQ
2026-07-28,20152.80350820259,TQQQ
2026-07-29,18986.94308797554,TQQQ
2026-07-30,20685.242854516066,TQQQ
2026-07-31,21089.16392842964,TQQQ
2026-08-03,22111.20280782417,TQQQ
2026-08-04,24210.36299459175,TQQQ
2026-08-05,23604.48196737007,TQQQ
2026-08-06,23356.622714440382,TQQQ
2026-08-07,24103.263461510694,TQQQ
2026-08-10,23898.24402181343,TQQQ
2026-08-11,23671.802340905226,TQQQ
2026-08-12,24143.042621056593,TQQQ
2026-08-13,24923.343554894484,TQQQ
2026-08-14,24813.183368126905,TQQQ
2026-08-17,24693.843554894484,TQQQ
2026-08-18,23509.622714440382,TQQQ
2026-08-19,23365.802340905226,TQQQ
2026-08-20,22882.324115197218,TQQQ
2026-08-21,23093.462527672804,TQQQ
2026-08-24,22432.50374166206,TQQQ
2026-08-25,22818.06206075386,TQQQ
2026-08-26,22879.263461510694,TQQQ
2026-08-27,23745.24402181343,TQQQ
2026-08-28,23301.542621056593,TQQQ
2026-08-31,23322.962527672804,TQQQ
2026-09-01,22475.343554894484,TQQQ
2026-09-02,22613.042621056593,TQQQ
2026-09-03,23356.622714440382,TQQQ
2026-09-04,23460.66392842964,TQQQ
