ending_equity,cagr,max_drawdown,volatility,sharpe,time,sessions,entries,fees,ending_vs_1545,cagr_vs_1545
23808.041442993333,-0.19137212777304868,-0.30081303156132266,0.6471744057753915,-0.10648852935105418,09:30,59,1,11.843592909142268,0.012907022926073486,0.0438567744390842
24170.54999893154,-0.13645523551829852,-0.30103089143360284,0.6477208428158094,-0.10621107021653699,09:35,59,1,11.843263802592896,0.028329856553938493,0.09877366669383436
23922.22632999211,-0.17437319414554253,-0.301235916061636,0.6482352182844965,-0.10594989010116108,09:40,59,1,11.85886283342732,0.017764989686170907,0.06085570806659035
24312.903146867007,-0.11412219097291443,-0.30114456562032255,0.6480060181877462,-0.10606626918019406,09:45,59,1,11.844456634955561,0.03438623475811475,0.12110671123921846
24263.733686217416,-0.121885805747876,-0.30167173629154165,0.6493290497236198,-0.10539448263777018,09:50,59,1,11.869029079058306,0.032294332653327595,0.11334309646425689
24229.628860451,-0.12723993968571057,-0.3012177917185118,0.648189741923447,-0.10597298127396033,09:55,59,1,11.849906052081712,0.03084335157967688,0.10798896252642232
24132.697347557067,-0.1423200997904106,-0.3014388280998853,0.648744419537366,-0.10569133670369381,10:00,59,1,11.862180669846504,0.02671942520008752,0.09290880242172228
23841.57990662261,-0.1864074127926203,-0.30128195893479504,0.6483507504054784,-0.10589122724861008,10:05,59,1,11.86299897566766,0.014333908267716966,0.04882148941951259
23622.92918744212,-0.2183561714400707,-0.301165196390371,0.6480577789855996,-0.10603998702828833,10:10,59,1,11.863768946152787,0.005031469444428893,0.016872730772062194
23697.37959319069,-0.20758816792246992,-0.3011871501924286,0.6481128605772815,-0.10601201869816665,10:15,59,1,11.862729264492623,0.00819894288078804,0.02764073428966296
23610.476107140523,-0.22014624421975415,-0.3004595781494964,0.6462881792814206,-0.10693851878124012,10:20,59,1,11.833825456675035,0.0045016563338142745,0.015082657992378734
23808.041442993337,-0.1913721277730479,-0.30081303156132255,0.6471744057753913,-0.10648852935105498,10:25,59,1,11.843592909142266,0.012907022926073708,0.04385677443908498
23773.892794512496,-0.19640316678662306,-0.30118638346832527,0.6481109368591739,-0.10601299548891079,10:30,59,1,11.860658700487015,0.011454177426266421,0.03882573542550982
23751.53058535517,-0.19968465419887682,-0.30059363177225795,0.6466242520973333,-0.10676787500164972,10:35,59,1,11.835667299392934,0.010502782967472646,0.03554424801325606
23697.842321292195,-0.20752088687896109,-0.3011820685629589,0.6481001107537042,-0.10601849257256939,10:40,59,1,11.862498016066084,0.008218629529302968,0.027708015333171798
24006.544420120958,-0.16164499259393672,-0.30115037599092265,0.6480205957684606,-0.10605886724325851,10:45,59,1,11.852891775265267,0.02135228122612065,0.07358390961819616
24089.85019733189,-0.1489217478208229,-0.30107635952488776,0.6478349042756952,-0.1061531542345887,10:50,59,1,11.84742662061042,0.024896504172359668,0.08630715439130998
23582.80475343172,-0.22411257301734144,-0.3007642730962151,0.6470521293486026,-0.10655061640099708,10:55,59,1,11.847654219148199,0.003324385680424813,0.011116329194791441
23504.666177767187,-0.23522890221213288,-0.30078164695658605,0.6470956986685467,-0.1065284936569364,11:00,59,1,11.850537064184657,0.0,0.0
23520.84521147296,-0.23293733603402833,-0.30060282046702724,0.6466472901800531,-0.10675617721377723,11:05,59,1,11.842451590068828,0.0006883328435047797,0.0022915661781045538
23457.608780609222,-0.24186406504151514,-0.300454624051651,0.6462757603895014,-0.10694482457267468,11:10,59,1,11.83788708637925,-0.0020020449047039035,-0.006635162829382257
23362.18210123525,-0.2551832273037151,-0.3006632395853662,0.6467987806118948,-0.10667925659438611,11:15,59,1,11.849409663404433,-0.006061948527765648,-0.019954325091582237
23293.205145965698,-0.2646979287244118,-0.30057822113461263,0.64658561480839,-0.10678749342026268,11:20,59,1,11.847713987503868,-0.008996555415941576,-0.029469026512278895
23255.273504863304,-0.2698901853651843,-0.301001891460175,0.6476480966350326,-0.10624800788900572,11:25,59,1,11.866670329883876,-0.010610347367527417,-0.03466128315305139
23255.273504863308,-0.26989018536518394,-0.30100189146017486,0.6476480966350325,-0.10624800788900872,11:30,59,1,11.866670329883872,-0.010610347367527306,-0.03466128315305106
23389.337714164558,-0.2514114789569686,-0.30036148241068394,0.6460422875552654,-0.10706337220438861,11:35,59,1,11.835838642450256,-0.004906619933692902,-0.016182576744835697
23463.719076250054,-0.24100501796305707,-0.3003869886506232,0.6461062199724629,-0.107030910038374,11:40,59,1,11.83483346536934,-0.0017420839422882528,-0.005776115750924182
23646.061556212375,-0.21502260447816912,-0.3009105854047873,0.6474190728916642,-0.10636429713714018,11:45,59,1,11.852208541969752,0.006015630146618767,0.020206297733963763
23829.36717686221,-0.18821797849252186,-0.30058034351037677,0.6465909359500264,-0.106784791564631,11:50,59,1,11.83293537097691,0.013814320809293346,0.04701092371961102
23639.891355712312,-0.21591285024433116,-0.30097845682496993,0.6475893129251218,-0.1062778559552711,11:55,59,1,11.855292100440547,0.00575312054731647,0.01931605196780173
23940.97178351985,-0.17155643415124,-0.3010320971713236,0.6477238674537615,-0.1062095344231502,12:00,59,1,11.84949479068482,0.018562510203414817,0.06367246806089288
23878.953410511327,-0.18084737970464726,-0.3008744464526041,0.6473284322568345,-0.10641032085523026,12:05,59,1,11.844321562429919,0.01592395441455685,0.054381522507485625
23756.174392373854,-0.1990040605798179,-0.3005428425107871,0.6464969168523096,-0.10683253056467674,12:10,59,1,11.833346556255162,0.010700352547213132,0.036224841632314986
23582.80475343172,-0.22411257301734144,-0.3007642730962151,0.6470521293486026,-0.10655061640099708,12:15,59,1,11.847654219148199,0.003324385680424813,0.011116329194791441
23601.25075882004,-0.22147030869964524,-0.3005610917266396,0.6465426690941275,-0.10680929947542789,12:20,59,1,11.838435825650787,0.004109166253303709,0.013758593512487649
23598.177988339536,-0.22191094233584485,-0.30059491900546986,0.6466274794592197,-0.10676623628050844,12:25,59,1,11.839971443082325,0.003978436020537934,0.013317959876288032
23592.02775612588,-0.2227923054777976,-0.3006626480850282,0.6467972974739133,-0.10668000967118131,12:30,59,1,11.843045022399492,0.003716775966864372,0.012436596734335281
23530.713954431354,-0.23153695307453048,-0.30049384584836714,0.6463740833087878,-0.10689490031698352,12:35,59,1,11.837519684542395,0.0011081959840300026,0.0036919491376024016
23558.208515829745,-0.22762506739020416,-0.30103562655919947,0.6477327210800321,-0.10620503889632171,12:40,59,1,11.859946191962779,0.0022779450538721324,0.007603834821928723
23585.87986953855,-0.22367256397653668,-0.3007303818439212,0.6469671411584216,-0.10659376996573548,12:45,59,1,11.846117429489613,0.003455215707261594,0.011556338235596209
23477.11506025435,-0.23911905237467146,-0.3010866589748604,0.6478607423960923,-0.10614003463613382,12:50,59,1,11.864305738603866,-0.0011721552352399467,-0.003890150162538575
23478.618401103016,-0.23890717820421803,-0.3010699998823274,0.6478189500693008,-0.10616125516298469,12:55,59,1,11.86355444382692,-0.0011081959840301137,-0.003678275992085145
23414.846032703277,-0.24785514983076617,-0.30092882248985764,0.6474648150990127,-0.10634107105247216,13:00,59,1,11.859257774987919,-0.0038213750573862226,-0.01262624761863329
23357.615517109083,-0.25581605781790007,-0.30071404370492216,0.6469261716894943,-0.1066145725990847,13:05,59,1,11.851691814392023,-0.00625623267933062,-0.020587155605767182
23294.721578150882,-0.26448976316249206,-0.3005613084225466,0.6465432123741514,-0.10680902362035467,13:10,59,1,11.846956150329863,-0.008932039197173891,-0.02926086095035918
23350.003769305702,-0.2568699623469889,-0.3007987640219161,0.6471386249075062,-0.10650669743949813,13:15,59,1,11.855495786307754,-0.006580072539289161,-0.021641060134856005
23291.718810907856,-0.2649019187290226,-0.3005948000217131,0.6466271811419375,-0.10676638775370957,13:20,59,1,11.848456783634724,-0.009059791160137998,-0.029673016516889694
23284.10192252731,-0.2659466043143255,-0.30067978907097215,0.646840277503738,-0.1066581861684226,13:25,59,1,11.852263324554537,-0.009383849724635018,-0.0307177021021926
23314.446772376494,-0.26177788541132896,-0.3003414873274043,0.6459921704548328,-0.107088819533129,13:30,59,1,11.837098482051196,-0.008092835862975156,-0.026548983199196075
23395.671933346683,-0.2505295832327006,-0.300291182733599,0.6458660888055099,-0.10715283839975785,13:35,59,1,11.832673115622606,-0.004637132201588123,-0.015300681020567697
23353.046610203604,-0.25644879579900626,-0.3007648908509477,0.6470536785080728,-0.10654982980034959,13:40,59,1,11.853975126188864,-0.0064506156529463565,-0.021219893586873373
23362.18210123525,-0.2551832273037151,-0.3006632395853662,0.6467987806118948,-0.10667925659438611,13:45,59,1,11.849409663404433,-0.006061948527765648,-0.019954325091582237
23340.870601053368,-0.25813300192510946,-0.3009004810848078,0.6473937296989928,-0.10637716540662738,13:50,59,1,11.860060088282935,-0.006968640842419216,-0.022904099712976578
23346.95860562849,-0.25729126646716827,-0.3008326706896912,0.6472236588018223,-0.10646352063679981,13:55,59,1,11.857017607235898,-0.00670962824768262,-0.022062364255035383
23397.193353795632,-0.2503176409922274,-0.30027430230692964,0.6458237820237919,-0.10717431996549925,14:00,59,1,11.831912785563162,-0.004572403758416832,-0.015088738780094535
23454.555963183782,-0.24229298038011982,-0.30048842736812253,0.6463604997469253,-0.10690179748137722,14:05,59,1,11.839412732269025,-0.002131926239854587,-0.007064078167986931
23466.499237462685,-0.24061390681122263,-0.3003562248795736,0.6460291095873543,-0.10707006341567452,14:10,59,1,11.83344407945598,-0.0016238026958494967,-0.005385004599089749
23467.89160823567,-0.2404179707420644,-0.3011889079271196,0.6481172707571811,-0.10600977937684747,14:15,59,1,11.868915159902556,-0.0015645646380760825,-0.0051890685299315065
23518.455764587514,-0.23327610487902717,-0.30062921758456074,0.6467134749975435,-0.10672257128782514,14:20,59,1,11.84364571644836,0.0005866744380045308,0.0019527973331057158
23523.05229352762,-0.23262431995856458,-0.30057844212043217,0.6465861688551857,-0.10678721209821448,14:25,59,1,11.841348600536262,0.000782232584005893,0.0026045822535682994
23433.20488436557,-0.24528754765234884,-0.3007250569447336,0.6469537883679062,-0.1066005499711652,14:30,59,1,11.850082936575978,-0.0030403024174499027,-0.010058645440215952
23389.5514098612,-0.25138173972979416,-0.30035911019458916,0.646036341600495,-0.10706639130721868,14:35,59,1,11.835731847999162,-0.004897528305033871,-0.016152837517661278
23386.536442315042,-0.2518012373184144,-0.30039258253493695,0.6461202415327202,-0.10702379048443031,14:40,59,1,11.837238578407035,-0.005025799326768721,-0.016572335106281533
23337.825437376156,-0.2585537545259706,-0.30093441068927507,0.6474788316080425,-0.1063339540223763,14:45,59,1,11.861581909211075,-0.007098196550812674,-0.02332485231383774
23347.172301325132,-0.25726170726762143,-0.30083029102502,0.6472176907715426,-0.10646655096383308,14:50,59,1,11.856910812784802,-0.006700536619023589,-0.022032805055488547
23365.224942133154,-0.25476132489778247,-0.3006293969288185,0.6467139246700523,-0.10672234296260348,14:55,59,1,11.84788900328554,-0.005932491641422621,-0.019532422685649586
23484.746327019617,-0.23804306554105903,-0.3010021130694005,0.6476486525301475,-0.10624772562719242,15:00,59,1,11.86049201208449,-0.0008474849460492484,-0.0028141633289261447
23374.360433164802,-0.2534935457908192,-0.30052783721448717,0.6464592981336139,-0.106851631785115,15:05,59,1,11.843323540501107,-0.005543824516241802,-0.01826464357868629
23395.702129477733,-0.25052537719430645,-0.30029084768376946,0.6458652490742481,-0.10715326477924303,15:10,59,1,11.832658025102342,-0.004635847514929736,-0.015296474982173569
