date,equity,holding
2026-06-12,25141.826296349507,TQQQ
2026-06-15,27314.3833642206,TQQQ
2026-06-16,25882.403780480367,TQQQ
2026-06-17,25147.973513146382,TQQQ
2026-06-18,26785.842562218648,TQQQ
2026-06-22,26696.7290673456,TQQQ
2026-06-23,24195.36874630068,TQQQ
2026-06-24,23896.916201134663,TQQQ
2026-06-25,24405.11432125185,TQQQ
2026-06-26,23444.1558251581,TQQQ
2026-06-29,25095.036013146382,TQQQ
2026-06-30,26268.515261193257,TQQQ
2026-07-01,25178.194979210835,TQQQ
2026-07-02,23912.314791222554,TQQQ
2026-07-06,24857.874697228413,TQQQ
2026-07-07,23567.356295128804,TQQQ
2026-07-08,23718.27563716982,TQQQ
2026-07-09,24833.23413326357,TQQQ
2026-07-10,25045.754885216695,TQQQ
2026-07-13,23693.635073204976,TQQQ
2026-07-14,24426.67422725771,TQQQ
2026-07-15,24248.036013146382,TQQQ
2026-07-16,23108.434603234273,TQQQ
2026-07-17,22119.754885216695,TQQQ
2026-07-20,22156.71573116396,TQQQ
2026-07-21,23302.476107140523,TQQQ
2026-07-22,22966.754885216695,TQQQ
2026-07-23,21740.916201134663,TQQQ
2026-07-24,21032.515261193257,TQQQ
2026-07-27,20847.71573116396,TQQQ
2026-07-28,20280.99568416689,TQQQ
2026-07-29,19107.515261193257,TQQQ
2026-07-30,20816.915026207906,TQQQ
2026-07-31,21223.476107140523,TQQQ
2026-08-03,22252.194979210835,TQQQ
2026-08-04,24365.075167199117,TQQQ
2026-08-05,23755.23413326357,TQQQ
2026-08-06,23505.754885216695,TQQQ
2026-08-07,24257.27563716982,TQQQ
2026-08-10,24050.916201134663,TQQQ
2026-08-11,23822.994509240132,TQQQ
2026-08-12,24297.314791222554,TQQQ
2026-08-13,25082.71573116396,TQQQ
2026-08-14,24971.83554317568,TQQQ
2026-08-17,24851.71573116396,TQQQ
2026-08-18,23659.754885216695,TQQQ
2026-08-19,23514.994509240132,TQQQ
2026-08-20,23028.356295128804,TQQQ
2026-08-21,23240.874697228413,TQQQ
2026-08-24,22575.59591915224,TQQQ
2026-08-25,22963.67422725771,TQQQ
2026-08-26,23025.27563716982,TQQQ
2026-08-27,23896.916201134663,TQQQ
2026-08-28,23450.314791222554,TQQQ
2026-08-31,23471.874697228413,TQQQ
2026-09-01,22618.71573116396,TQQQ
2026-09-02,22757.314791222554,TQQQ
2026-09-03,23505.754885216695,TQQQ
2026-09-04,23610.476107140523,TQQQ
