date,equity,holding
2026-06-12,24985.125433061577,TQQQ
2026-06-15,27143.574987504937,TQQQ
2026-06-16,25720.89397249029,TQQQ
2026-06-17,24991.232732866265,TQQQ
2026-06-18,26618.466268632867,TQQQ
2026-06-22,26529.931432817437,TQQQ
2026-06-23,24044.81371125982,TQQQ
2026-06-24,23748.299169633843,TQQQ
2026-06-25,24253.197301958062,TQQQ
2026-06-26,23298.478796098687,TQQQ
2026-06-29,24938.638982866265,TQQQ
2026-06-30,26104.498235795952,TQQQ
2026-07-01,25021.257955644585,TQQQ
2026-07-02,23763.597768877007,TQQQ
2026-07-06,24703.017675493218,TQQQ
2026-07-07,23420.879263017632,TQQQ
2026-07-08,23570.81860933111,TQQQ
2026-07-09,24678.537115190484,TQQQ
2026-07-10,24889.677862260796,TQQQ
2026-07-13,23546.338049028374,TQQQ
2026-07-14,24274.617208574273,TQQQ
2026-07-15,24097.138982866265,TQQQ
2026-07-16,22964.93758210943,TQQQ
2026-07-17,21982.677862260796,TQQQ
2026-07-20,22019.398702714898,TQQQ
2026-07-21,23157.719076250054,TQQQ
2026-07-22,22824.177862260796,TQQQ
2026-07-23,21606.299169633843,TQQQ
2026-07-24,20902.498235795952,TQQQ
2026-07-27,20718.898702714898,TQQQ
2026-07-28,20155.858656023003,TQQQ
2026-07-29,18989.998235795952,TQQQ
2026-07-30,20688.29800233648,TQQQ
2026-07-31,21092.219076250054,TQQQ
2026-08-03,22114.257955644585,TQQQ
2026-08-04,24213.418142412163,TQQQ
2026-08-05,23607.537115190484,TQQQ
2026-08-06,23359.677862260796,TQQQ
2026-08-07,24106.31860933111,TQQQ
2026-08-10,23901.299169633843,TQQQ
2026-08-11,23674.85748872564,TQQQ
2026-08-12,24146.097768877007,TQQQ
2026-08-13,24926.398702714898,TQQQ
2026-08-14,24816.23851594732,TQQQ
2026-08-17,24696.898702714898,TQQQ
2026-08-18,23512.677862260796,TQQQ
2026-08-19,23368.85748872564,TQQQ
2026-08-20,22885.379263017632,TQQQ
2026-08-21,23096.517675493218,TQQQ
2026-08-24,22435.558889482476,TQQQ
2026-08-25,22821.117208574273,TQQQ
2026-08-26,22882.31860933111,TQQQ
2026-08-27,23748.299169633843,TQQQ
2026-08-28,23304.597768877007,TQQQ
2026-08-31,23326.017675493218,TQQQ
2026-09-01,22478.398702714898,TQQQ
2026-09-02,22616.097768877007,TQQQ
2026-09-03,23359.677862260796,TQQQ
2026-09-04,23463.719076250054,TQQQ
