date,equity,holding
2026-06-12,25320.158732317672,TQQQ
2026-06-15,27513.877070330367,TQQQ
2026-06-16,26067.949633501754,TQQQ
2026-06-17,25326.365824602828,TQQQ
2026-06-18,26980.18814363359,TQQQ
2026-06-22,26890.206660174117,TQQQ
2026-06-23,24364.48243989824,TQQQ
2026-06-24,24063.122889422164,TQQQ
2026-06-25,24576.270991228805,TQQQ
2026-06-26,23605.952509783492,TQQQ
2026-06-29,25272.912699602828,TQQQ
2026-06-30,26457.821940325484,TQQQ
2026-07-01,25356.88165559648,TQQQ
2026-07-02,24078.671465777144,TQQQ
2026-07-06,25033.441370867477,TQQQ
2026-07-07,23730.352984331832,TQQQ
2026-07-08,23882.742319964156,TQQQ
2026-07-09,25008.56080140947,TQQQ
2026-07-10,25223.151560686812,TQQQ
2026-07-13,23857.86175050615,TQQQ
2026-07-14,24598.040896319137,TQQQ
2026-07-15,24417.662699602828,TQQQ
2026-07-16,23266.96127595781,TQQQ
2026-07-17,22268.651560686812,TQQQ
2026-07-20,22305.972414873824,TQQQ
2026-07-21,23462.892794512496,TQQQ
2026-07-22,23123.901560686812,TQQQ
2026-07-23,21886.122889422164,TQQQ
2026-07-24,21170.821940325484,TQQQ
2026-07-27,20984.222414873824,TQQQ
2026-07-28,20411.98236741899,TQQQ
2026-07-29,19227.071940325484,TQQQ
2026-07-30,20953.121703051314,TQQQ
2026-07-31,21363.642794512496,TQQQ
2026-08-03,22402.38165559648,TQQQ
2026-08-04,24535.841845415816,TQQQ
2026-08-05,23920.06080140947,TQQQ
2026-08-06,23668.151560686812,TQQQ
2026-08-07,24426.992319964156,TQQQ
2026-08-10,24218.622889422164,TQQQ
2026-08-11,23988.48118104814,TQQQ
2026-08-12,24467.421465777144,TQQQ
2026-08-13,25260.472414873824,TQQQ
2026-08-14,25148.51222505449,TQQQ
2026-08-17,25027.222414873824,TQQQ
2026-08-18,23823.651560686812,TQQQ
2026-08-19,23677.48118104814,TQQQ
2026-08-20,23186.102984331832,TQQQ
2026-08-21,23400.691370867477,TQQQ
2026-08-24,22728.93260469316,TQQQ
2026-08-25,23120.790896319137,TQQQ
2026-08-26,23182.992319964156,TQQQ
2026-08-27,24063.122889422164,TQQQ
2026-08-28,23612.171465777144,TQQQ
2026-08-31,23633.941370867477,TQQQ
2026-09-01,22772.472414873824,TQQQ
2026-09-02,22912.421465777144,TQQQ
2026-09-03,23668.151560686812,TQQQ
2026-09-04,23773.892794512496,TQQQ
