date,equity,holding
2026-06-12,25089.55870503873,TQQQ
2026-06-15,27262.115772909823,TQQQ
2026-06-16,25830.13618916959,TQQQ
2026-06-17,25095.705921835604,TQQQ
2026-06-18,26733.57497090787,TQQQ
2026-06-22,26644.461476034823,TQQQ
2026-06-23,24143.1011549899,TQQQ
2026-06-24,23844.648609823886,TQQQ
2026-06-25,24352.846729941073,TQQQ
2026-06-26,23391.888233847323,TQQQ
2026-06-29,25042.768421835604,TQQQ
2026-06-30,26216.24766988248,TQQQ
2026-07-01,25125.927387900058,TQQQ
2026-07-02,23860.047199911776,TQQQ
2026-07-06,24805.607105917636,TQQQ
2026-07-07,23515.088703818026,TQQQ
2026-07-08,23666.008045859042,TQQQ
2026-07-09,24780.966541952792,TQQQ
2026-07-10,24993.487293905917,TQQQ
2026-07-13,23641.367481894198,TQQQ
2026-07-14,24374.406635946933,TQQQ
2026-07-15,24195.768421835604,TQQQ
2026-07-16,23056.167011923495,TQQQ
2026-07-17,22067.487293905917,TQQQ
2026-07-20,22104.448139853183,TQQQ
2026-07-21,23250.208515829745,TQQQ
2026-07-22,22914.487293905917,TQQQ
2026-07-23,21688.648609823886,TQQQ
2026-07-24,20980.24766988248,TQQQ
2026-07-27,20795.448139853183,TQQQ
2026-07-28,20228.728092856112,TQQQ
2026-07-29,19055.24766988248,TQQQ
2026-07-30,20764.647434897128,TQQQ
2026-07-31,21171.208515829745,TQQQ
2026-08-03,22199.927387900058,TQQQ
2026-08-04,24312.80757588834,TQQQ
2026-08-05,23702.966541952792,TQQQ
2026-08-06,23453.487293905917,TQQQ
2026-08-07,24205.008045859042,TQQQ
2026-08-10,23998.648609823886,TQQQ
2026-08-11,23770.726917929354,TQQQ
2026-08-12,24245.047199911776,TQQQ
2026-08-13,25030.448139853183,TQQQ
2026-08-14,24919.5679518649,TQQQ
2026-08-17,24799.448139853183,TQQQ
2026-08-18,23607.487293905917,TQQQ
2026-08-19,23462.726917929354,TQQQ
2026-08-20,22976.088703818026,TQQQ
2026-08-21,23188.607105917636,TQQQ
2026-08-24,22523.328327841464,TQQQ
2026-08-25,22911.406635946933,TQQQ
2026-08-26,22973.008045859042,TQQQ
2026-08-27,23844.648609823886,TQQQ
2026-08-28,23398.047199911776,TQQQ
2026-08-31,23419.607105917636,TQQQ
2026-09-01,22566.448139853183,TQQQ
2026-09-02,22705.047199911776,TQQQ
2026-09-03,23453.487293905917,TQQQ
2026-09-04,23558.208515829745,TQQQ
