date,action,symbol,price,shares,cost,reason
2016-06-01,BUY,GLD,115.94000244140625,862.5150758517362,0.0,REBALANCE
2016-07-01,SELL,GLD,128.41000366210938,862.5150758517362,0.0,REBALANCE
2016-07-01,BUY,SHY,69.89525775912678,1584.5933987457647,0.0,REBALANCE
2016-08-01,SELL,SHY,69.81407370916457,1584.5933987457647,0.0,REBALANCE
2016-08-01,BUY,TECL,4.069469928741455,27184.60199392737,0.0,REBALANCE
2016-10-03,SELL,TECL,4.368388652801514,27184.60199392737,0.0,REBALANCE
2016-10-03,BUY,TQQQ,2.5418577194213867,46718.94338296398,0.0,REBALANCE
2016-11-01,SELL,TQQQ,2.3801937103271484,46718.94338296398,0.0,REBALANCE
2016-11-01,BUY,TECL,4.18667459487915,26560.49154841728,0.0,REBALANCE
2016-12-01,SELL,TECL,4.014047622680664,26560.49154841728,0.0,REBALANCE
2016-12-01,BUY,TQQQ,2.321946620941162,45916.24845963928,0.0,REBALANCE
2017-01-03,SELL,TQQQ,2.581679582595825,45916.24845963928,0.0,REBALANCE
2017-01-03,BUY,TECL,4.668214797973633,25393.22766576717,0.0,REBALANCE
2017-03-01,SELL,TECL,5.970191478729248,25393.22766576717,0.0,REBALANCE
2017-03-01,BUY,TQQQ,3.4155592918395996,44385.82922269892,0.0,REBALANCE
2017-06-01,SELL,TQQQ,4.2595438957214355,44385.82922269892,0.0,REBALANCE
2017-06-01,BUY,TECL,7.221286296844482,26181.40039741911,0.0,REBALANCE
2017-06-09,SELL,TECL,6.643583393096924,26181.40039741911,0.0,STOP
2017-07-03,BUY,TECL,6.388132095336914,27228.353185633554,0.0,REBALANCE
2017-08-01,SELL,TECL,7.502034664154053,27228.353185633554,0.0,REBALANCE
2017-08-01,BUY,TQQQ,4.38435697555542,46590.195685554376,0.0,REBALANCE
2018-02-01,SELL,TQQQ,6.843799591064453,46590.195685554376,0.0,REBALANCE
2018-02-01,BUY,TECL,12.460898399353027,25588.36064315915,0.0,REBALANCE
2018-02-02,SELL,TECL,11.464026527404785,25588.36064315915,0.0,STOP
2018-03-01,BUY,TECL,11.346857070922852,25852.590137730447,0.0,REBALANCE
2018-03-23,SELL,TECL,10.439108505249024,25852.590137730447,0.0,STOP
2018-04-02,BUY,TECL,9.682615280151367,27872.427622186802,0.0,REBALANCE
2018-07-02,SELL,TECL,12.507287979125977,27872.427622186802,0.0,REBALANCE
2018-07-02,BUY,TQQQ,6.940876483917236,50225.42610516114,0.0,REBALANCE
2018-08-01,SELL,TQQQ,7.402094841003418,50225.42610516114,0.0,REBALANCE
2018-08-01,BUY,TECL,13.134157180786133,28305.84120038371,0.0,REBALANCE
2018-09-04,SELL,TECL,15.219768524169922,28305.84120038371,0.0,REBALANCE
2018-09-04,BUY,TQQQ,8.492142677307129,50730.22996928287,0.0,REBALANCE
2018-09-06,SELL,TQQQ,7.812771263122559,50730.22996928287,0.0,STOP
2018-10-01,BUY,TQQQ,8.505216598510742,46600.0692968844,0.0,REBALANCE
2018-10-04,SELL,TQQQ,7.8247992706298835,46600.0692968844,0.0,STOP
2018-11-01,BUY,SHY,69.89489608610798,5216.921530240842,0.0,REBALANCE
2018-12-03,SELL,SHY,70.06497474698614,5216.921530240842,0.0,REBALANCE
2018-12-03,BUY,GLD,116.41000366210938,3139.9661865340886,0.0,REBALANCE
2019-05-01,SELL,GLD,120.4000015258789,3139.9661865340886,0.0,REBALANCE
2019-05-01,BUY,TECL,15.053191184997559,25114.404580650633,0.0,REBALANCE
2019-05-07,SELL,TECL,13.848935890197755,25114.404580650633,0.0,STOP
2019-06-03,BUY,TECL,10.730324745178223,32413.537075307093,0.0,REBALANCE
2019-08-01,SELL,TECL,15.638594627380371,32413.537075307093,0.0,REBALANCE
2019-08-01,BUY,TQQQ,7.701693534851074,65816.97447016032,0.0,REBALANCE
2019-08-05,SELL,TQQQ,6.8991356059267845,65816.97447016032,0.0,STOP
2019-09-03,BUY,TECL,14.191542625427246,31996.537939989226,0.0,REBALANCE
2019-10-01,SELL,TECL,14.856426239013672,31996.537939989226,0.0,REBALANCE
2019-10-01,BUY,TQQQ,7.161098480224609,66380.06824259493,0.0,REBALANCE
2019-10-03,SELL,TQQQ,6.588210601806641,66380.06824259493,0.0,STOP
2019-11-01,BUY,TQQQ,8.474483489990234,51605.017563733105,0.0,REBALANCE
2019-12-03,SELL,TQQQ,8.516252212524414,51605.017563733105,0.0,STOP
2020-01-02,BUY,TQQQ,10.820575714111328,40615.33846404927,0.0,REBALANCE
2020-02-03,SELL,TQQQ,11.666304588317871,40615.33846404927,0.0,REBALANCE
2020-02-03,BUY,TECL,25.521854400634766,18565.69283881803,0.0,REBALANCE
2020-02-24,SELL,TECL,23.480106048583984,18565.69283881803,0.0,STOP
2020-03-02,BUY,TECL,22.269023895263672,19575.37244430363,0.0,REBALANCE
2020-03-03,SELL,TECL,20.48750198364258,19575.37244430363,0.0,STOP
2020-04-01,BUY,IEF,104.02655375954976,3855.2702871443153,0.0,REBALANCE
2020-05-01,SELL,IEF,104.03355474034372,3855.2702871443153,0.0,REBALANCE
2020-05-01,BUY,TQQQ,7.565112113952637,53016.725517752166,0.0,REBALANCE
2020-06-01,SELL,TQQQ,9.980802536010742,53016.725517752166,0.0,REBALANCE
