date,from_symbol,to_symbol,fee
2015-12-29,XLU,QQQ,0.0
2015-12-31,QQQ,GLD,0.0
2016-01-07,GLD,TQQQ,0.0
2016-01-12,TQQQ,GLD,0.0
2016-01-13,GLD,TQQQ,0.0
2016-01-14,TQQQ,GLD,0.0
2016-01-15,GLD,TQQQ,0.0
2016-01-22,TQQQ,GLD,0.0
2016-02-08,GLD,TQQQ,0.0
2016-02-12,TQQQ,GLD,0.0
2016-02-17,GLD,QQQ,0.0
2016-04-28,QQQ,TQQQ,0.0
2016-05-02,TQQQ,QQQ,0.0
2016-05-03,QQQ,XLU,0.0
2016-05-04,XLU,TQQQ,0.0
2016-05-06,TQQQ,XLU,0.0
2016-05-10,XLU,QQQ,0.0
2016-05-11,QQQ,XLU,0.0
2016-05-24,XLU,QQQ,0.0
2016-06-15,QQQ,XLU,0.0
2016-06-16,XLU,QQQ,0.0
2016-06-17,QQQ,XLU,0.0
2016-06-20,XLU,QQQ,0.0
2016-06-24,QQQ,XLU,0.0
2016-06-27,XLU,TQQQ,0.0
2016-06-28,TQQQ,XLU,0.0
2016-06-30,XLU,QQQ,0.0
2016-08-01,QQQ,UVXY,0.0
2016-08-02,UVXY,QQQ,0.0
2016-08-26,QQQ,XLU,0.0
2016-08-29,XLU,QQQ,0.0
2016-08-31,QQQ,XLU,0.0
2016-09-02,XLU,QQQ,0.0
2016-09-09,QQQ,TQQQ,0.0
2016-09-12,TQQQ,XLU,0.0
2016-09-22,XLU,QQQ,0.0
2016-09-23,QQQ,XLU,0.0
2016-09-28,XLU,QQQ,0.0
2016-09-29,QQQ,XLU,0.0
2016-09-30,XLU,QQQ,0.0
2016-10-04,QQQ,XLU,0.0
2016-10-05,XLU,QQQ,0.0
2016-10-07,QQQ,XLU,0.0
2016-10-10,XLU,QQQ,0.0
2016-10-11,QQQ,XLU,0.0
2016-10-24,XLU,QQQ,0.0
2016-10-25,QQQ,XLU,0.0
2016-11-02,XLU,TQQQ,0.0
2016-11-07,TQQQ,XLU,0.0
2016-11-08,XLU,QQQ,0.0
2017-01-25,QQQ,UVXY,0.0
2017-01-30,UVXY,QQQ,0.0
2017-02-10,QQQ,UVXY,0.0
2017-02-28,UVXY,QQQ,0.0
2017-03-01,QQQ,UVXY,0.0
2017-03-02,UVXY,QQQ,0.0
2017-03-21,QQQ,XLU,0.0
2017-03-30,XLU,QQQ,0.0
2017-03-31,QQQ,XLU,0.0
2017-04-20,XLU,QQQ,0.0
2017-04-21,QQQ,XLU,0.0
2017-04-24,XLU,QQQ,0.0
2017-04-28,QQQ,UVXY,0.0
2017-05-03,UVXY,QQQ,0.0
2017-05-05,QQQ,UVXY,0.0
2017-05-17,UVXY,XLU,0.0
2017-05-19,XLU,QQQ,0.0
2017-06-02,QQQ,UVXY,0.0
2017-06-06,UVXY,QQQ,0.0
2017-06-29,QQQ,XLU,0.0
2017-07-03,XLU,QQQ,0.0
2017-07-06,QQQ,XLU,0.0
2017-07-10,XLU,QQQ,0.0
2017-07-11,QQQ,XLU,0.0
2017-07-12,XLU,QQQ,0.0
2017-08-10,QQQ,XLU,0.0
2017-08-14,XLU,QQQ,0.0
2017-08-17,QQQ,XLU,0.0
2017-08-30,XLU,QQQ,0.0
2017-11-07,QQQ,UVXY,0.0
2017-11-09,UVXY,QQQ,0.0
2017-11-15,QQQ,XLU,0.0
2017-11-16,XLU,QQQ,0.0
2018-01-08,QQQ,UVXY,0.0
2018-01-09,UVXY,QQQ,0.0
2018-01-12,QQQ,UVXY,0.0
2018-01-16,UVXY,QQQ,0.0
2018-01-17,QQQ,UVXY,0.0
2018-01-24,UVXY,QQQ,0.0
2018-01-26,QQQ,UVXY,0.0
2018-01-29,UVXY,QQQ,0.0
2018-02-02,QQQ,XLU,0.0
2018-02-05,XLU,TQQQ,0.0
2018-02-06,TQQQ,XLU,0.0
2018-02-08,XLU,TQQQ,0.0
2018-02-09,TQQQ,XLU,0.0
