date,equity,holding,rsi10,spy_close,spy_sma30,spy_sma200
2012-01-03,10000.0,QQQ,59.883090296506126,99.05699157714844,95.4599843343099,96.87326290130615
2012-01-04,10042.177938557808,QQQ,61.4066468308423,99.21240997314453,95.62802581787109,96.87355018615723
2012-01-05,10124.778172643544,QQQ,64.80239477447664,99.4765396118164,95.86457443237305,96.87687774658202
2012-01-06,10159.92974391749,QQQ,66.14025196392735,99.22015380859375,96.10467122395833,96.87750953674316
2012-01-09,10126.536092772032,QQQ,63.35696826483251,99.46100616455078,96.42047805786133,96.87460704803466
2012-01-10,10200.349003313937,QQQ,66.43698797123722,100.3233871459961,96.7706921895345,96.87448795318603
2012-01-11,10221.437972592841,QQQ,67.4991316047113,100.37777709960938,97.03599522908529,96.87586372375489
2012-01-12,10261.861786186511,QQQ,69.57788968218077,100.61859893798828,97.3005760192871,96.87508075714112
2012-01-13,10224.953053816947,QQQ,65.89355289578202,100.09809112548828,97.42068049112956,96.86821796417236
2012-01-17,10318.099290607877,QQQ,70.02384572485613,100.48651885986328,97.5542470296224,96.86398509979249
2012-01-18,10455.179868019362,QQQ,75.14722974354294,101.59751892089844,97.72767791748046,96.86316738128662
2012-01-19,10520.209250181786,QQQ,77.0514530580625,102.13362884521484,97.88398056030273,96.86460975646973
2012-01-20,10504.39404128835,QQQ,75.13451014679077,102.5142822265625,98.05194295247396,96.86803176879883
2012-01-23,10507.903809282361,QQQ,75.76942161876374,102.2501220703125,98.19900512695312,96.86852813720704
2012-01-24,10488.574278197688,QQQ,73.19367185719803,102.13362884521484,98.41372400919596,96.86974109649658
2012-01-25,10620.383372322318,QQQ,78.1325687471528,102.98819732666016,98.60288619995117,96.87698482513427
2012-01-26,10583.479953182848,QQQ,73.629941565983,102.45990753173828,98.82179082234701,96.88311576843262
2012-01-27,10615.114166134073,QQQ,74.74153755754519,102.41329193115234,99.06899236043294,96.89279647827148
2012-01-30,10623.900730645037,QQQ,75.3345762132233,102.06368255615234,99.33825200398763,96.90076732635498
2012-01-31,10637.960296508594,QQQ,76.42165245376606,102.02483367919922,99.59489390055339,96.90816184997558
2012-02-01,10724.074093752697,UVXY,80.16532852249102,102.91828918457031,99.87665583292643,96.9181897354126
2012-02-02,10077.645535652897,UVXY,81.78630684232483,103.0814437866211,100.19752324422201,96.9346887588501
2012-02-03,9016.841600003241,UVXY,86.01110938487142,104.52652740478516,100.47229385375977,96.95554718017578
2012-02-06,8801.364810489888,UVXY,85.1570291546389,104.45658111572266,100.73851801554362,96.96921569824218
2012-02-07,8933.965981361192,UVXY,85.91917369381716,104.72076416015625,100.98506037394206,96.98160667419434
2012-02-08,9348.342264131177,UVXY,87.2637503372378,105.03148651123047,101.21295547485352,96.99608646392822
2012-02-09,10276.546839349789,UVXY,89.12078403324935,105.16358184814453,101.44266510009766,97.00683219909668
2012-02-10,12033.5048853285,QQQ,77.08873790845556,104.38665008544922,101.6894655863444,97.01033039093018
2012-02-13,12145.223993066358,UVXY,80.67494374099292,105.16358184814453,101.92875518798829,97.01603191375733
2012-02-14,12874.725823106166,UVXY,81.52911866914151,105.03148651123047,102.17969868977865,97.01984985351562
2012-02-15,14333.730559957146,QQQ,71.03645710715662,104.54205322265625,102.36253407796224,97.02202335357666
2012-02-16,14530.11444426486,QQQ,77.22026674387779,105.69966888427734,102.57877604166667,97.03185749053955
2012-02-17,14484.440952407109,QQQ,73.06247937349536,105.9793472290039,102.79553629557292,97.04652904510498
2012-02-21,14525.54620746831,QQQ,74.60998921235567,106.02599334716797,103.02239761352538,97.06609577178955
2012-02-22,14459.32551236804,QQQ,68.28252620219364,105.68413543701172,103.22983525594076,97.0816987991333
2012-02-23,14555.233829240717,QQQ,72.1160844156225,106.1502914428711,103.42406539916992,97.09764545440675
2012-02-24,14605.469640489842,QQQ,74.04193373446111,106.38336181640625,103.62425155639649,97.1103630065918
2012-02-27,14626.026706074324,QQQ,75.02950591536374,106.56205749511719,103.82236684163412,97.12943832397461
2012-02-28,14774.452980126014,UVXY,79.64211420635255,106.87281036376953,104.04819081624349,97.1476219177246
2012-02-29,14255.139948654536,QQQ,72.91803393220903,106.45326232910156,104.2470822652181,97.16768196105957
2012-03-01,14368.016640359543,QQQ,76.87356782744948,107.00489044189453,104.42732798258463,97.1937480545044
2012-03-02,14356.946905694154,QQQ,75.51637216628231,106.6785888671875,104.57882664998372,97.21825923919678
2012-03-05,14208.664459586189,QQQ,61.8778588737695,106.24349212646484,104.70313364664713,97.23604759216309
2012-03-06,14069.235124821877,XLU,51.86085356961993,104.68968963623047,104.78445256551107,97.24484405517578
2012-03-07,14077.28940133222,QQQ,57.69484988759715,105.42000579833984,104.89399846394856,97.26138084411622
2012-03-08,14228.916133167062,QQQ,64.47952510597258,106.46878814697266,105.01001815795898,97.28908477783203
2012-03-09,14288.251014776783,QQQ,66.98172472688819,106.88056945800781,105.15737355550131,97.3192678451538
2012-03-12,14294.8443066694,QQQ,67.2233659956048,106.8883285522461,105.3065414428711,97.34780834197998
2012-03-13,14560.743691987322,QQQ,75.9259201808311,108.81513977050781,105.53159001668294,97.38365180969238
2012-03-14,14611.285303209088,QQQ,77.1206387937369,108.69856262207031,105.75404764811198,97.4169637298584
2012-03-15,14653.035542212441,QQQ,78.17284217093732,109.3279037475586,105.96770146687825,97.44811038970947
2012-03-16,14642.689569141845,QQQ,77.15957934179164,109.4792709350586,106.18096237182617,97.49159275054932
2012-03-19,14746.151198017353,UVXY,79.95189571610881,109.908447265625,106.36035970052083,97.53775592803954
2012-03-20,13322.151971615294,UVXY,80.70033091918236,109.58849334716797,106.531423441569,97.58732517242431
2012-03-21,12012.882781763898,UVXY,80.72635604847123,109.4090347290039,106.68769912719726,97.64127040863038
2012-03-22,12262.588681477042,QQQ,77.00966891865627,108.62089538574219,106.80734608968099,97.69158065795898
2012-03-23,12255.268974774954,QQQ,75.87882698877945,108.97201538085938,106.93429387410482,97.74571014404297
2012-03-26,12469.469657443491,UVXY,83.64036599346201,110.50146484375,107.13812103271485,97.80374206542969
2012-03-27,14943.803686798203,UVXY,84.0840850885486,110.15811920166016,107.30460561116537,97.86693546295166
2012-03-28,15119.8428060041,QQQ,77.19298250988746,109.61193084716797,107.45728708902995,97.92701568603516
2012-03-29,15061.977482031753,QQQ,70.97911320402143,109.42462158203125,107.62003936767579,97.97996898651122
2012-03-30,15033.041941460166,QQQ,68.00551992247426,109.87721252441406,107.75929082234701,98.04397426605225
2012-04-02,15188.82810542691,QQQ,74.51388155137587,110.68096160888672,107.91601130167643,98.11092834472656
2012-04-03,15184.374933792982,QQQ,74.10079126218571,110.22833251953125,108.05608927408854,98.17416751861572
2012-04-04,14977.405602125962,QQQ,55.621263114970915,109.13589477539062,108.17114791870117,98.22944831848145
2012-04-05,15070.878068128784,QQQ,60.62960997657136,109.081298828125,108.2688481648763,98.27773590087891
2012-04-09,14957.373526236819,XLU,52.757965413655015,107.85616302490234,108.31794153849283,98.3228931427002
2012-04-10,14763.457370531598,XLU,40.432560709049994,106.04580688476562,108.30073318481445,98.36041954040527
2012-04-11,14797.93633860847,XLU,44.73353038352244,106.90419006347656,108.3017791748047,98.4079598236084
2012-04-12,14845.332054427576,XLU,53.467600693885224,108.30095672607422,108.36336898803711,98.45814422607423
2012-04-13,14793.624158444856,XLU,43.233450887424276,107.0134048461914,108.36365280151367,98.49547782897949
2012-04-16,14931.524196553466,XLU,37.352284525940355,106.94319915771484,108.37247314453126,98.52819770812988
2012-04-17,15009.082741736112,QQQ,50.5849841910319,108.52725982666016,108.44859873453775,98.5640376663208
2012-04-18,14970.878119933104,XLU,49.120541135665235,108.16051483154297,108.56429290771484,98.59055541992187
2012-04-19,14932.120281020307,XLU,42.973538680996505,107.46601867675781,108.63249333699544,98.61402317047119
2012-04-20,15078.523841391523,XLU,41.54391236031021,107.64545440673828,108.6717155456543,98.63777355194092
2012-04-23,15013.932716917023,XLU,37.19997127597897,106.74028778076172,108.66703948974609,98.65166027069091
2012-04-24,15117.265859163832,XLU,34.72482273605159,107.14608764648438,108.67563145955404,98.67126258850098
2012-04-25,15194.767034277313,XLU,51.741158889032334,108.61306762695312,108.66889572143555,98.70753158569336
2012-04-26,15280.889412528895,QQQ,54.787473572889915,109.36997985839844,108.69127629597982,98.74977416992188
2012-04-27,15372.336538767091,QQQ,57.67715790903371,109.54948425292969,108.69866231282552,98.79122455596924
2012-04-30,15262.600578706302,QQQ,53.075767417215765,109.14370727539062,108.68747685750326,98.83414054870606
