date,equity,holding,branch,cash,shares
2021-01-04,23669.650260530787,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-05,24231.58701666482,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-06,23281.706306063013,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-07,24872.14237555154,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-08,25787.22204931863,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-11,24703.302760683375,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-12,24601.485530458765,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-13,25055.155833803492,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-14,24692.992259584742,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-15,24123.322627626734,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-19,25114.447406374293,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-20,26777.056983553248,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-21,27411.16724737771,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-22,27174.017467104273,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-25,27893.19555624612,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-26,27921.54943426736,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-27,25771.752170168238,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-28,26132.63415487893,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-29,24583.440089784937,TQQQ,bull_trend,1263.0905071128182,1082
2021-02-01,26297.60836371072,TQQQ,bull_trend,1263.0905071128182,1082
2021-02-02,27509.117007814722,TQQQ,bull_trend,1263.0905071128182,1082
2021-02-03,27207.532786928492,TQQQ,bull_trend,1263.0905071128182,1082
2021-02-04,28125.18802221902,TQQQ,bull_trend,1263.0905071128182,1082
2021-02-05,28406.157432161646,TQQQ,bull_trend,1263.0905071128182,1082
2021-02-08,28937.16062124856,TQQQ,bull_trend,1263.0905071128182,1082
2021-02-09,28924.27043112405,TQQQ,bull_trend,1263.0905071128182,1082
2021-02-10,28728.366782747584,TQQQ,bull_trend,1263.0905071128182,1082
2021-02-11,29171.726584993678,TQQQ,bull_trend,1263.0905071128182,1082
2021-02-12,29646.02201803811,TQQQ,bull_trend,1263.0905071128182,1082
2021-02-16,29408.874301515894,TQQQ,bull_trend,1263.0905071128182,1082
2021-02-17,29017.067004762965,TQQQ,bull_trend,1263.0905071128182,1082
2021-02-18,28643.2989574302,TQQQ,bull_trend,1263.0905071128182,1082
2021-02-19,28282.429355226832,TQQQ,bull_trend,1263.0905071128182,1082
2021-02-22,26189.33984717019,TQQQ,bull_trend,1263.0905071128182,1082
2021-02-23,25967.659946047144,TQQQ,bull_trend,1263.0905071128182,1082
