date,strategy
2016-06-01,1.0
2016-06-02,1.003104172372866
2016-06-03,1.0124166894914637
2016-06-05,1.0124166894914637
2016-06-06,1.009769013055784
2016-06-07,1.0112298000547797
2016-06-08,1.0124166894914635
2016-06-09,1.0139687756778963
2016-06-10,1.0175294439879485
2016-06-12,1.0175294439879485
2016-06-13,1.0195380261115676
2016-06-14,1.0192641285492556
2016-06-15,1.0223683009221216
2016-06-16,1.023463891171368
2016-06-17,1.0199945220487534
2016-06-19,1.0199945220487534
2016-06-20,1.015612161051766
2016-06-21,1.0133296813658352
2016-06-22,1.0153382634894543
2016-06-23,1.010499406555281
2016-06-24,1.0244681822331774
2016-06-26,1.0244681822331774
2016-06-27,1.0333242034145889
2016-06-28,1.0331416050397144
2016-06-29,1.0289418424176018
2016-06-30,1.0312243221035324
2016-07-01,1.0325025107276538
2016-07-04,1.0325025107276538
2016-07-05,1.009995644008795
2016-07-06,1.0268757940479392
2016-07-07,1.0296891523877967
2016-07-08,1.0775162441653718
2016-07-10,1.0775162441653718
2016-07-11,1.0972097525443734
2016-07-12,1.12252997760309
2016-07-13,1.1253433359429472
2016-07-14,1.1478502026618063
2016-07-15,1.1422234859820914
2016-07-17,1.1422234859820914
2016-07-18,1.1647303527009503
2016-07-19,1.1591036360212355
2016-07-20,1.2041173694589533
2016-07-21,1.1844238610799513
2016-07-22,1.2041173694589533
2016-07-24,1.2041173694589533
2016-07-25,1.1984906527792385
2016-07-26,1.2069307277988106
2016-07-27,1.2350643111973842
2016-07-28,1.2435043862169568
2016-07-29,1.2519444612365287
2016-07-31,1.2519444612365287
2016-08-01,1.2603845362561008
2016-08-02,1.2603845362561008
2016-08-03,1.2603845362561008
2016-08-04,1.2603845362561008
2016-08-05,1.2603845362561008
2016-08-07,1.2603845362561008
2016-08-08,1.2603845362561008
2016-08-09,1.2603845362561008
2016-08-10,1.2603845362561008
2016-08-11,1.2603845362561008
2016-08-12,1.2603845362561008
2016-08-14,1.2603845362561008
2016-08-15,1.2603845362561008
2016-08-16,1.2603845362561008
2016-08-17,1.2603845362561008
2016-08-18,1.2603845362561008
2016-08-19,1.2603845362561008
2016-08-21,1.2603845362561008
2016-08-22,1.2603845362561008
2016-08-23,1.2603845362561008
2016-08-24,1.2603845362561008
2016-08-25,1.2603845362561008
2016-08-26,1.2603845362561008
2016-08-28,1.2603845362561008
2016-08-29,1.2603845362561008
2016-08-30,1.2603845362561008
2016-08-31,1.2603845362561008
2016-09-01,1.2603845362561008
2016-09-02,1.2603845362561008
2016-09-05,1.2603845362561008
2016-09-06,1.2603845362561008
2016-09-07,1.2603845362561008
2016-09-08,1.2603845362561008
2016-09-09,1.2603845362561008
2016-09-11,1.2603845362561008
2016-09-12,1.2603845362561008
2016-09-13,1.2603845362561008
2016-09-14,1.2603845362561008
2016-09-15,1.2603845362561008
2016-09-16,1.2603845362561008
2016-09-18,1.2603845362561008
2016-09-19,1.2603845362561008
2016-09-20,1.2603845362561008
2016-09-21,1.2603845362561008
2016-09-22,1.2603845362561008
2016-09-23,1.2603845362561008
2016-09-25,1.2603845362561008
2016-09-26,1.2603845362561008
2016-09-27,1.2603845362561008
2016-09-28,1.2603845362561008
2016-09-29,1.2603845362561008
2016-09-30,1.2603845362561008
2016-10-02,1.2603845362561008
2016-10-03,1.2603845362561008
2016-10-04,1.2472828259000082
2016-10-05,1.2603845362561008
2016-10-06,1.2682455624697562
2016-10-07,1.2603845362561008
2016-10-09,1.2603845362561008
2016-10-10,1.2839676148970673
2016-10-11,1.2446624838287896
2016-10-12,1.247282825900008
2016-10-13,1.22632008933026
2016-10-14,1.2394217996863526
2016-10-16,1.2394217996863526
2016-10-17,1.2315607734726968
2016-10-18,1.2525235100424448
2016-10-19,1.2551438521136633
2016-10-20,1.2394217996863524
2016-10-21,1.2472828259000077
2016-10-23,1.2472828259000077
2016-10-24,1.283967614897067
2016-10-25,1.273486246612193
2016-10-26,1.252523510042445
2016-10-27,1.2446624838287894
2016-10-28,1.2394217996863528
2016-10-30,1.2394217996863528
2016-10-31,1.2394217996863528
2016-11-01,1.2079776948317305
2016-11-02,1.1742890738603278
2016-11-03,1.140600452888925
2016-11-04,1.1261624724726096
