date,QQQ,TQQQ,TECL,IEF,GLD,SHY
2016-01-04,109.5,2.24,3.49,106.04,102.89,84.47
2016-01-05,109.31,2.22,3.46,106.01,103.17999999999999,84.42
2016-01-06,108.25999999999999,2.15,3.3400000000000003,106.65,104.66999999999999,84.47
2016-01-07,104.87,1.9500000000000002,3.0400000000000005,106.88000000000001,106.14999999999998,84.5
2016-01-08,104.01,1.9100000000000001,2.9700000000000006,107.15000000000002,105.67999999999998,84.55999999999999
2016-01-10,,,,,,
2016-01-11,104.32999999999998,1.9200000000000002,3.0300000000000002,106.81000000000003,104.73999999999997,84.58999999999999
2016-01-12,105.53999999999999,1.9899999999999998,3.1300000000000003,107.29000000000005,104.20999999999995,84.59999999999998
2016-01-13,101.9,1.7799999999999998,2.8900000000000006,107.71000000000004,104.71999999999996,84.64999999999999
2016-01-14,104.06999999999998,1.8999999999999997,3.0500000000000007,107.49000000000004,103.01999999999994,84.67
2016-01-15,100.83999999999999,1.7199999999999998,2.7800000000000002,107.99000000000002,104.07999999999994,84.74
2016-01-18,,,,,,
2016-01-19,101.05999999999999,1.7299999999999998,2.7900000000000005,107.85000000000001,103.97999999999995,84.73
2016-01-20,100.74999999999999,1.7099999999999997,2.7300000000000004,108.38,105.36999999999995,84.79000000000002
2016-01-21,100.85,1.7199999999999998,2.7800000000000002,108.11000000000001,105.48999999999995,84.78
2016-01-22,103.76999999999998,1.87,3.000000000000001,107.87000000000002,104.99999999999997,84.75000000000001
2016-01-24,,,,,,
2016-01-25,102.22999999999999,1.7799999999999998,2.890000000000001,108.23000000000003,106.07999999999996,84.75000000000001
2016-01-26,103.14999999999999,1.8299999999999996,2.9800000000000013,108.31000000000003,107.28999999999998,84.79000000000002
2016-01-27,100.57999999999998,1.6999999999999995,2.7900000000000014,108.39000000000001,107.68999999999997,84.81
2016-01-28,102.0,1.7599999999999996,2.9000000000000012,108.53,106.53999999999999,84.81
2016-01-29,104.12999999999998,1.8799999999999994,3.180000000000002,109.11,106.94919999999999,84.91
2016-01-31,,,,,,
2016-02-01,104.40999999999998,1.8899999999999995,3.220000000000002,108.7,108.04999999999997,84.82
2016-02-02,102.14999999999999,1.7699999999999996,3.040000000000002,109.47,108.08999999999997,84.93
2016-02-03,101.65999999999997,1.7499999999999998,3.020000000000002,109.35,109.24999999999996,84.94999999999999
2016-02-04,101.64999999999999,1.7399999999999998,3.040000000000002,109.60999999999999,110.56999999999994,84.97
2016-02-05,98.11999999999999,1.5599999999999998,2.7800000000000016,109.74999999999999,112.31999999999994,84.94999999999999
2016-02-07,,,,,,
2016-02-08,96.62,1.4899999999999998,2.660000000000002,110.56999999999998,113.82999999999994,85.04999999999997
2016-02-09,96.32,1.47,2.620000000000002,110.58999999999999,113.57999999999994,85.01999999999998
2016-02-10,96.69,1.4899999999999998,2.6400000000000015,110.91999999999996,114.45999999999994,85.01999999999998
2016-02-11,96.55,1.4899999999999998,2.610000000000001,111.42999999999999,119.05919999999995,85.1
2016-02-12,98.01999999999998,1.5499999999999996,2.7200000000000015,110.57999999999997,118.35999999999994,84.99999999999999
2016-02-15,,,,,,
2016-02-16,100.22999999999998,1.6499999999999995,2.870000000000002,110.24999999999997,114.76999999999995,84.94999999999999
2016-02-17,102.49999999999997,1.7699999999999996,3.040000000000002,109.97999999999998,115.47999999999996,84.97
2016-02-18,101.32999999999997,1.7099999999999995,3.0000000000000013,110.48999999999998,118.28999999999995,85.03999999999999
2016-02-19,101.62999999999995,1.7299999999999998,3.0200000000000014,110.48999999999998,117.57999999999994,84.95999999999998
2016-02-21,,,,,,
2016-02-22,103.27999999999997,1.8099999999999996,3.1300000000000012,110.37999999999998,115.48999999999994,84.97
2016-02-23,101.57999999999997,1.7199999999999995,2.9900000000000015,110.59999999999998,117.21999999999994,84.97999999999999
2016-02-24,102.54999999999998,1.7699999999999996,3.0600000000000014,110.59999999999998,117.60999999999994,84.99999999999999
2016-02-25,103.55999999999997,1.8199999999999996,3.1700000000000013,110.92999999999998,117.91999999999994,85.02
2016-02-26,103.42999999999998,1.8099999999999996,3.1400000000000015,110.38999999999997,117.10999999999994,84.90999999999998
2016-02-28,,,,,,
2016-02-29,102.49999999999997,1.7699999999999996,3.090000000000001,110.56999999999998,118.63999999999996,84.95999999999998
2016-03-01,105.78999999999998,1.9299999999999995,3.3500000000000014,109.54999999999998,117.76999999999994,84.8
2016-03-02,105.82999999999998,1.9399999999999995,3.3800000000000012,109.35999999999999,118.67999999999994,84.79
2016-03-03,105.62999999999997,1.9299999999999995,3.3700000000000014,109.49,120.72999999999993,84.81999999999998
2016-03-04,105.66999999999997,1.9299999999999995,3.4000000000000017,109.11999999999999,120.53999999999994,84.75999999999999
2016-03-06,,,,,,
2016-03-07,105.01999999999997,1.8899999999999995,3.340000000000001,108.89999999999999,121.13999999999994,84.69999999999997
2016-03-08,104.14999999999998,1.8399999999999996,3.280000000000001,109.52999999999999,120.57999999999993,84.75999999999996
2016-03-09,104.81999999999998,1.8799999999999994,3.360000000000001,109.09999999999998,119.57999999999993,84.72999999999998
2016-03-10,104.65999999999997,1.8699999999999994,3.3500000000000014,108.70999999999998,121.49999999999991,84.71999999999998
2016-03-11,106.48999999999995,1.9699999999999993,3.510000000000001,108.39999999999999,119.40999999999991,84.63999999999999
2016-03-13,,,,,,
2016-03-14,106.66999999999997,1.979999999999999,3.520000000000001,108.47999999999999,117.86999999999992,84.63999999999999
2016-03-15,106.62999999999995,1.979999999999999,3.560000000000002,108.45999999999998,117.95999999999991,84.66999999999997
2016-03-16,107.57999999999996,2.029999999999999,3.6800000000000024,109.02999999999999,120.58999999999989,84.83999999999997
2016-03-17,107.51999999999997,2.019999999999999,3.730000000000002,109.15,120.12999999999988,84.82999999999997
2016-03-18,107.36999999999996,2.029999999999999,3.740000000000002,109.33999999999999,119.79999999999988,84.84999999999998
2016-03-20,,,,,,
2016-03-21,107.78999999999998,2.059999999999999,3.780000000000001,109.02999999999999,118.95999999999988,84.83999999999997
2016-03-22,108.11999999999998,2.079999999999999,3.790000000000002,108.8,119.3099999999999,84.78999999999998
2016-03-23,107.22999999999996,2.029999999999999,3.720000000000002,109.3,116.6099999999999,84.83999999999997
2016-03-24,107.25999999999996,2.029999999999999,3.740000000000002,109.19,116.32999999999991,84.79999999999997
2016-03-27,,,,,,
2016-03-28,107.10999999999996,2.019999999999999,3.720000000000002,109.35000000000001,116.59999999999992,84.81999999999996
2016-03-29,108.82999999999996,2.119999999999999,3.890000000000002,110.09,118.75999999999992,84.97999999999998
2016-03-30,109.35999999999996,2.149999999999999,3.960000000000002,109.93999999999998,117.09999999999991,84.98999999999994
2016-03-31,109.19999999999996,2.129999999999999,3.9400000000000026,110.33999999999999,117.63999999999993,85.02999999999994
2016-04-01,110.35999999999996,2.2099999999999995,4.030000000000003,110.13999999999997,116.92999999999992,84.92999999999995
2016-04-03,,,,,,
2016-04-04,109.93999999999997,2.169999999999999,3.980000000000002,110.26999999999998,116.14999999999992,84.98999999999992
2016-04-05,108.87999999999995,2.119999999999999,3.8600000000000025,110.70999999999998,117.65999999999993,85.01999999999992
2016-04-06,110.66999999999996,2.2199999999999998,3.9700000000000033,110.47,116.93999999999993,84.98999999999992
2016-04-07,109.07999999999996,2.1299999999999994,3.800000000000003,111.04,118.60999999999994,85.03999999999992
2016-04-08,108.99999999999996,2.1199999999999997,3.800000000000003,110.86999999999999,118.42999999999995,85.03999999999992
2016-04-10,,,,,,
2016-04-11,108.59999999999995,2.0999999999999996,3.780000000000003,110.84999999999998,120.02999999999993,85.02999999999992
2016-04-12,109.50999999999996,2.1499999999999995,3.8400000000000025,110.40999999999998,120.04999999999993,85.0099999999999
2016-04-13,110.90999999999995,2.2299999999999995,3.9700000000000033,110.48999999999998,118.76999999999992,84.9699999999999
2016-04-14,110.91999999999996,2.2299999999999995,3.9700000000000033,110.22999999999999,117.10999999999994,84.9699999999999
2016-04-15,110.63999999999996,2.22,3.920000000000003,110.55999999999999,117.91999999999997,85.02999999999989
2016-04-17,,,,,,
2016-04-18,111.22999999999998,2.25,3.960000000000003,110.44999999999999,117.73999999999997,85.01999999999988
2016-04-19,110.54999999999997,2.21,3.9000000000000035,110.26999999999998,119.57999999999997,84.98999999999988
2016-04-20,110.63999999999996,2.22,3.920000000000003,109.71,118.96999999999998,84.9299999999999
2016-04-21,110.64999999999996,2.22,3.8800000000000034,109.52999999999999,119.41999999999999,84.9099999999999
2016-04-22,108.97999999999998,2.1200000000000006,3.6900000000000035,109.41,117.89,84.9099999999999
2016-04-24,,,,,,
2016-04-25,108.97999999999998,2.1100000000000003,3.6800000000000037,109.29,118.23,84.88999999999989
2016-04-26,108.44999999999996,2.0900000000000003,3.6400000000000037,109.06000000000002,118.7,84.86999999999988
2016-04-27,107.57999999999996,2.0400000000000005,3.580000000000004,109.66000000000003,119.04,84.92999999999988
2016-04-28,106.27999999999996,1.9600000000000002,3.440000000000004,110.04000000000003,121.28999999999999,84.97999999999988
2016-04-29,105.71999999999996,1.9300000000000004,3.3600000000000034,110.00000000000001,123.64999999999998,85.00999999999988
2016-05-01,,,,,,
2016-05-02,106.71999999999996,1.9800000000000004,3.4200000000000035,109.52000000000002,123.23999999999997,84.92999999999988
2016-05-03,105.72999999999996,1.9300000000000004,3.3400000000000034,110.17000000000004,122.95999999999998,85.01999999999988
2016-05-04,105.04999999999995,1.8900000000000001,3.3000000000000034,110.37000000000003,122.20999999999997,85.00999999999989
2016-05-05,105.01999999999997,1.8900000000000001,3.3000000000000034,110.67000000000003,122.06999999999996,85.0399999999999
2016-05-06,105.57999999999997,1.9200000000000002,3.3700000000000037,110.41000000000004,123.17999999999998,85.0199999999999
2016-05-08,,,,,,
2016-05-09,105.87999999999995,1.9400000000000002,3.3700000000000037,110.62000000000003,120.64999999999998,85.0599999999999
2016-05-10,107.32999999999996,2.0200000000000005,3.500000000000003,110.60000000000002,120.97999999999998,85.07999999999991
2016-05-11,106.35999999999996,1.9600000000000004,3.4400000000000035,110.77000000000001,122.11999999999998,85.04999999999991
2016-05-12,105.88999999999994,1.9300000000000006,3.4100000000000037,110.47000000000001,121.15999999999998,84.99999999999991
2016-05-13,105.49999999999996,1.9100000000000004,3.370000000000004,110.89,121.70999999999998,85.00999999999993
2016-05-15,,,,,,
2016-05-16,106.81999999999994,1.9800000000000006,3.500000000000004,110.49000000000001,121.79999999999997,84.96999999999991
2016-05-17,105.47999999999995,1.9100000000000006,3.400000000000004,110.34,122.21999999999997,84.93999999999993
2016-05-18,105.85999999999994,1.9300000000000006,3.4300000000000037,109.45000000000002,120.09999999999998,84.78999999999992
2016-05-19,105.30999999999995,1.9000000000000004,3.3700000000000037,109.56000000000002,119.86999999999999,84.80999999999992
2016-05-20,106.46999999999996,1.9600000000000006,3.470000000000004,109.63000000000002,119.70999999999998,84.8399999999999
2016-05-22,,,,,,
2016-05-23,106.32999999999996,1.9500000000000006,3.460000000000004,109.70000000000005,119.37,84.8299999999999
2016-05-24,108.45999999999997,2.0700000000000007,3.6600000000000046,109.52000000000004,117.3,84.76999999999988
2016-05-25,109.23999999999997,2.120000000000001,3.740000000000004,109.47000000000006,116.98,84.81999999999988
2016-05-26,109.55999999999999,2.130000000000001,3.7700000000000045,109.81000000000007,116.58,84.86999999999988
2016-05-27,110.12999999999997,2.170000000000001,3.830000000000005,109.60000000000007,115.62,84.81999999999987
2016-05-30,,,,,,
2016-05-31,110.33999999999997,2.170000000000001,3.850000000000005,109.73000000000008,116.06,84.85999999999987
2016-06-01,110.34999999999995,2.180000000000001,3.8200000000000043,109.53000000000006,115.94,84.74999999999989
2016-06-02,110.57999999999996,2.190000000000001,3.8000000000000043,109.87000000000008,115.66999999999999,84.81999999999988
2016-06-03,110.05999999999995,2.160000000000001,3.7700000000000045,110.89000000000007,118.87999999999997,84.9599999999999
2016-06-05,,,,,,
2016-06-06,110.45999999999994,2.190000000000001,3.8000000000000043,110.60000000000008,118.91999999999997,84.93999999999988
2016-06-07,110.17999999999996,2.170000000000001,3.8400000000000043,110.76000000000009,118.81999999999998,84.9599999999999
2016-06-08,110.36999999999996,2.170000000000001,3.870000000000004,110.89000000000007,120.57999999999998,84.97999999999989
2016-06-09,110.18999999999994,2.170000000000001,3.870000000000004,111.06000000000006,121.24999999999999,84.9999999999999
2016-06-10,108.93999999999994,2.100000000000001,3.7700000000000045,111.45000000000007,121.73999999999997,85.0499999999999
2016-06-12,,,,,,
