Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2025-11-03T20:50:00Z,TQQQ,51.94559147216,-264573,Stop Market,Filled,-13743400.972564,"10.5% monthly-reset stop" 
2025-12-01T14:31:00Z,TECL,116.812841854,117739,Market On Close,Filled,13753427.187048,"Monthly rotation to TECL" 
2025-12-01T21:00:00Z,TECL,0,-117739,Stop Market,Canceled,0,"Monthly stop reset" 
2026-01-02T14:31:00Z,TECL,117.934066264,-117739,Market On Close,Filled,-13885439.027857,"Monthly rotation to TQQQ" 
2026-01-02T14:31:00Z,TQQQ,52.143829995,262415,Market On Close,Filled,13683323.148138,"Monthly rotation to TQQQ" 
2026-01-02T21:00:00Z,TQQQ,0,-262415,Stop Market,Canceled,0,"Monthly stop reset" 
2026-02-02T14:31:00Z,TQQQ,54.88299967,-262415,Market On Close,Filled,-14402122.358403,"Monthly rotation to TECL" 
2026-02-02T14:31:00Z,TECL,118.303358787,124024,Market On Close,Filled,14672455.770199,"Monthly rotation to TECL" 
2026-02-02T21:00:00Z,TECL,105.88150611436,-124024,Stop Market,Filled,-13131847.914328,"10.5% monthly-reset stop" 
2026-03-02T14:31:00Z,TECL,102.363895024,129524,Market On Close,Filled,13258581.139089,"Monthly rotation to TECL" 
2026-03-02T21:00:00Z,TECL,91.61568604648,-129524,Stop Market,Filled,-11866430.119484,"10.5% monthly-reset stop" 
2026-04-01T13:31:00Z,GLD,437.82,27075,Market On Close,Filled,11853976.5,"Monthly rotation to GLD" 
2026-04-01T20:00:00Z,GLD,0,-27075,Stop Market,Canceled,0,"Monthly stop reset" 
2026-05-01T13:31:00Z,GLD,423.18,-27075,Market On Close,Filled,-11457598.5,"Monthly rotation to TECL" 
2026-05-01T13:31:00Z,TECL,152.526987342,77106,Market On Close,Filled,11760745.885992,"Monthly rotation to TECL" 
2026-05-01T20:00:00Z,TECL,0,-77106,Stop Market,Canceled,0,"Monthly stop reset" 
2026-06-01T13:31:00Z,TECL,263.440264329,-77106,Market On Close,Filled,-20312825.021352,"Monthly rotation to TQQQ" 
2026-06-01T13:31:00Z,TQQQ,85.842090792,217870,Market On Close,Filled,18702416.320853,"Monthly rotation to TQQQ" 
2026-06-01T20:00:00Z,TQQQ,76.82867125884,-217870,Stop Market,Filled,-16738662.607163,"10.5% monthly-reset stop" 
