date,equity
2018-01-02,100000.0
2018-01-03,102513.13593037541
2018-01-04,103114.12033160638
2018-01-05,106228.23153948905
2018-01-08,107409.66264700005
2018-01-09,107491.64084113188
2018-01-10,106726.7822352905
2018-01-11,108864.3050914252
2018-01-12,111172.57270558324
2018-01-16,110312.08520080273
2018-01-17,113788.15787276044
2018-01-18,113897.42103977625
2018-01-19,114990.07736503039
2018-01-22,118582.25088395555
2018-01-23,121587.0907064571
2018-01-24,119121.77834927496
2018-01-25,118971.52197601055
2018-01-26,124284.63763103545
2018-01-29,122638.79491728928
2018-01-30,119504.19532464765
2018-01-31,120979.30149873579
2018-02-01,117953.98972820595
2018-02-02,110749.15430559665
2018-02-05,97964.89531792254
2018-02-06,105518.00040797293
2018-02-07,101345.3390909411
2018-02-08,88786.44411725026
2018-02-09,92330.81584596567
2018-02-12,92330.81584596567
2018-02-13,92330.81584596567
2018-02-14,92330.81584596567
2018-02-15,92330.81584596567
2018-02-16,92330.81584596567
2018-02-20,92330.81584596567
2018-02-21,90205.8050205116
2018-02-22,90222.75377958339
2018-02-23,95597.46917043239
2018-02-26,99434.91443017457
2018-02-27,95874.37598297196
2018-02-28,93947.16877166346
2018-03-01,89425.85604616368
2018-03-02,91884.33748144224
2018-03-05,94766.6807201368
2018-03-06,95964.81243938349
2018-03-07,96682.57742328465
2018-03-08,98123.74564199809
2018-03-09,103837.55183583342
2018-03-12,105391.75712347667
2018-03-13,101565.59516682441
2018-03-14,101220.82530532083
2018-03-15,100768.6974334047
2018-03-16,100101.81273305732
2018-03-19,93817.19654619724
2018-03-20,94506.70906413364
2018-03-21,93138.99453642151
2018-03-22,86334.41463375205
2018-03-23,86017.93431179215
2018-03-26,86017.93431179215
2018-03-27,86017.93431179215
2018-03-28,86017.93431179215
2018-03-29,86017.93431179215
2018-04-02,86017.93431179215
2018-04-03,86017.93431179215
2018-04-04,86017.93431179215
2018-04-05,86017.93431179215
2018-04-06,86017.93431179215
2018-04-09,86017.93431179215
2018-04-10,86017.93431179215
2018-04-11,86017.93431179215
2018-04-12,86530.04466498474
2018-04-13,84318.65583492738
2018-04-16,86179.51525265884
2018-04-17,91692.55370426385
2018-04-18,92330.22280180357
2018-04-19,89820.07873981827
2018-04-20,85512.83868170333
2018-04-23,84840.38573076027
2018-04-24,79431.6988393653
2018-04-25,79814.32715563966
2018-04-26,79814.32715563966
2018-04-27,79814.32715563966
2018-04-30,79814.32715563966
2018-05-01,79814.32715563966
2018-05-02,79814.32715563966
2018-05-03,79814.32715563966
2018-05-04,79814.32715563966
2018-05-07,79814.32715563966
2018-05-08,79814.32715563966
2018-05-09,79814.32715563966
2018-05-10,81522.8870095219
2018-05-11,81278.79136568056
2018-05-14,81640.02072573938
2018-05-15,78999.09278925473
2018-05-16,80453.79144406957
2018-05-17,79545.81862472772
2018-05-18,78271.71115152887
2018-05-21,79638.5786116415
2018-05-22,79223.62012933358
2018-05-23,81215.34564948874
2018-05-24,81146.98289029206
2018-05-25,81352.00654724526
2018-05-29,80312.24287632495
2018-05-30,82025.68843573876
2018-05-31,81849.9438018874
2018-06-01,85657.60321151958
2018-06-04,87854.33476481792
2018-06-05,88762.31933336647
2018-06-06,90226.77570434748
2018-06-07,88132.57360333581
2018-06-08,88073.9920587187
2018-06-11,88762.31933336647
2018-06-12,90168.20590893707
2018-06-13,90065.69995506381
2018-06-14,92804.27554845037
2018-06-15,91881.66321755758
2018-06-18,91676.63368600102
2018-06-19,90856.5155597748
2018-06-20,92760.35113919423
2018-06-21,90358.584179736
2018-06-22,89450.60548579079
2018-06-25,83739.12224594587
2018-06-26,84661.74632604535
2018-06-27,81264.16360333633
2018-06-28,83255.85975047476
2018-06-29,83636.61041746926
2018-07-02,85511.15522458014
2018-07-03,82567.55009963704
2018-07-05,84193.12528318286
2018-07-06,84193.12528318286
2018-07-09,84193.12528318286
2018-07-10,84193.12528318286
2018-07-11,84891.30987796429
2018-07-12,89080.44246191402
2018-07-13,89340.53924163799
2018-07-16,88738.1864456246
2018-07-17,90380.9648014573
2018-07-18,89805.9984176324
2018-07-19,88478.07868277964
2018-07-20,88354.85904839316
2018-07-23,89121.49736817453
2018-07-24,90257.76713331282
2018-07-25,94022.48995596815
2018-07-26,89915.5001339024
2018-07-27,86164.48424624254
2018-07-30,86178.16634740117
2018-07-31,86178.16634740117
2018-08-01,86178.16634740117
2018-08-02,86178.16634740117
