date,ending_balance,tax_withdrawal,cumulative_tax_withdrawal
2021-12-31,46363.79076631043,16997.754244589567,16997.754244589567
2022-12-30,57970.84729801754,9234.274904438214,26232.02914902778
2023-12-29,106187.50294354564,38362.790075519384,64594.819224547166
2024-12-31,148456.4039863953,33630.5292758316,98225.34850037876
2025-12-31,200978.37677729846,41788.88894098771,140014.23744136648
