date,time,action,symbol,price,shares,fee,branch
2026-03-30,11:30,SELL,TECS,227.59372957063343,292,33.22868451731248,bear_tqqq_oversold
2026-03-30,11:30,BUY,TECL,79.0811152497027,833,32.937284501501175,bear_tqqq_oversold
2026-04-01,11:30,SELL,TECL,91.19056202431534,833,37.980869083127345,bear_relative_inverse
2026-04-01,11:30,BUY,TECS,193.03319421264453,390,37.64147287146568,bear_relative_inverse
2026-04-02,11:30,SELL,TECS,193.380293099231,390,37.709157154350045,bear_relative_bond
2026-04-02,11:30,BUY,BSV,76.91206947747021,981,37.72537007869914,bear_relative_bond
2026-04-09,11:30,SELL,BSV,76.98590807171865,981,37.761587909178004,bull_trend
2026-04-09,11:30,BUY,TQQQ,47.76000470964938,1580,37.730403720623016,bull_trend
2026-04-20,11:30,SELL,TQQQ,57.61730381291354,1580,45.5176700122017,bull_overbought
2026-04-20,11:30,BUY,UVXY,39.17499923706055,2302,45.09042412185669,bull_overbought
2026-04-21,11:30,SELL,UVXY,39.619998931884766,2302,45.60261877059936,bull_trend
2026-04-21,11:30,BUY,TQQQ,57.786812411024485,1575,45.50711477368178,bull_trend
2026-05-07,11:30,SELL,TQQQ,72.47308941650613,1575,57.07255791549858,bull_overbought
2026-05-07,11:30,BUY,UVXY,36.099998474121094,3128,56.460397613525394,bull_overbought
2026-05-13,11:30,SELL,UVXY,36.224998474121094,3128,56.65589761352539,bull_trend
2026-05-13,11:30,BUY,TQQQ,75.84532021541514,1492,56.5806088806997,bull_trend
2026-05-14,11:30,SELL,TQQQ,79.30734817324081,1492,59.16328173723765,bull_overbought
2026-05-14,11:30,BUY,UVXY,36.70000076293945,3215,58.995251226425175,bull_overbought
2026-05-18,11:30,SELL,UVXY,35.57500076293945,3215,57.18681372642517,bull_trend
2026-05-18,11:30,BUY,TQQQ,73.041878337663,1566,57.191790738390125,bull_trend
2026-06-03,11:30,SELL,TQQQ,86.68036704788359,1566,67.87072739849285,bull_overbought
2026-06-03,11:30,BUY,UVXY,29.38800048828125,4580,67.29852111816406,bull_overbought
2026-06-04,11:30,SELL,UVXY,28.459999084472656,4580,65.17339790344238,bull_trend
2026-06-04,11:30,BUY,TQQQ,84.71998477282467,1539,65.1920282826886,bull_trend
