Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2016-01-28T14:35:00Z,QQQ,102.15,-946,Market,Filled,-96633.9,"ENTRY_SHORT | estimate=102.16 | stop=102.29 | shares=946" 
2016-01-28T14:35:00Z,QQQ,0,946,Stop Market,Canceled,0,"Sibling canceled after TARGET_10R" 
2016-01-28T14:35:00Z,QQQ,100.75,946,Limit,Filled,95309.5,"EXIT_TARGET_10R" 
2016-01-29T14:35:00Z,QQQ,102.06,999,Market,Filled,101957.94,"ENTRY_LONG | estimate=102.05 | stop=101.94 | shares=999" 
2016-01-29T14:35:00Z,QQQ,0,-999,Stop Market,Canceled,0,"Sibling canceled after TARGET_10R" 
2016-01-29T14:35:00Z,QQQ,103.26,-999,Limit,Filled,-103156.74,"EXIT_TARGET_10R" 
2016-02-01T14:35:00Z,QQQ,103.43,-1032,Market,Filled,-106739.76,"ENTRY_SHORT | estimate=103.44 | stop=103.67 | shares=1032" 
2016-02-01T14:35:00Z,QQQ,103.67,1032,Stop Market,Filled,106987.44,"EXIT_STOP" 
2016-02-01T14:35:00Z,QQQ,0,1032,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-02-02T14:35:00Z,QQQ,103.78,-1019,Market,Filled,-105751.82,"ENTRY_SHORT | estimate=103.80 | stop=103.97 | shares=1019" 
2016-02-02T14:35:00Z,QQQ,0,1019,Stop Market,Canceled,0,"Sibling canceled after TARGET_10R" 
2016-02-02T14:35:00Z,QQQ,101.88,1019,Limit,Filled,103815.72,"EXIT_TARGET_10R" 
2016-02-03T14:35:00Z,QQQ,102.6,-1106,Market,Filled,-113475.6,"ENTRY_SHORT | estimate=102.61 | stop=102.83 | shares=1106" 
2016-02-03T14:35:00Z,QQQ,0,1106,Stop Market,Canceled,0,"Sibling canceled after TARGET_10R" 
2016-02-03T14:35:00Z,QQQ,100.3,1106,Limit,Filled,110931.8,"EXIT_TARGET_10R" 
2016-02-04T14:35:00Z,QQQ,101.26,-793,Market,Filled,-80299.18,"ENTRY_SHORT | estimate=101.26 | stop=101.65 | shares=793" 
2016-02-04T14:35:00Z,QQQ,101.65,793,Stop Market,Filled,80608.45,"EXIT_STOP" 
2016-02-04T14:35:00Z,QQQ,0,793,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-02-05T14:35:00Z,QQQ,100.85,-651,Market,Filled,-65653.35,"ENTRY_SHORT | estimate=100.85 | stop=101.32 | shares=651" 
2016-02-05T14:35:00Z,QQQ,0,651,Stop Market,Canceled,0,"Bracket canceled before MOC closing-auction fill" 
2016-02-05T14:35:00Z,QQQ,0,651,Limit,Canceled,0,"Bracket canceled before MOC closing-auction fill" 
2016-02-05T20:40:00Z,QQQ,98.12,651,Market On Close,Filled,63876.12,"EXIT_EOD" 
2016-02-08T14:35:00Z,QQQ,96.15,-1295,Market,Filled,-124514.25,"ENTRY_SHORT | estimate=96.15 | stop=96.40 | shares=1295" 
2016-02-08T14:35:00Z,QQQ,96.4,1295,Stop Market,Filled,124838,"EXIT_STOP" 
2016-02-08T14:35:00Z,QQQ,0,1295,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-02-09T14:35:00Z,QQQ,95.46,1187,Market,Filled,113311.02,"ENTRY_LONG | estimate=95.45 | stop=95.18 | shares=1187" 
2016-02-09T14:35:00Z,QQQ,0,-1187,Stop Market,Canceled,0,"Bracket canceled before MOC closing-auction fill" 
2016-02-09T14:35:00Z,QQQ,0,-1187,Limit,Canceled,0,"Bracket canceled before MOC closing-auction fill" 
2016-02-09T20:40:00Z,QQQ,96.32,-1187,Market On Close,Filled,-114331.84,"EXIT_EOD" 
2016-02-10T14:35:00Z,QQQ,97.17,-787,Market,Filled,-76472.79,"ENTRY_SHORT | estimate=97.18 | stop=97.60 | shares=787" 
2016-02-10T14:35:00Z,QQQ,97.6,787,Stop Market,Filled,76811.2,"EXIT_STOP" 
2016-02-10T14:35:00Z,QQQ,0,787,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-02-11T14:35:00Z,QQQ,95.81,839,Market,Filled,80384.59,"ENTRY_LONG | estimate=95.79 | stop=95.40 | shares=839" 
2016-02-11T14:35:00Z,QQQ,95.4,-839,Stop Market,Filled,-80040.6,"EXIT_STOP" 
2016-02-11T14:35:00Z,QQQ,0,-839,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-02-12T14:35:00Z,QQQ,97.5,-1157,Market,Filled,-112807.5,"ENTRY_SHORT | estimate=97.51 | stop=97.79 | shares=1157" 
