date,equity
2015-12-29,100000.0
2015-12-30,100000.0
2015-12-31,100000.0
2016-01-04,100000.0
2016-01-05,100000.0
2016-01-06,100000.0
2016-01-07,100000.0
2016-01-08,100000.0
2016-01-11,100000.0
2016-01-12,100000.0
2016-01-13,100000.0
2016-01-14,100000.0
2016-01-15,100000.0
2016-01-19,100000.0
2016-01-20,100000.0
2016-01-21,100000.0
2016-01-22,100000.0
2016-01-25,100000.0
2016-01-26,100000.0
2016-01-27,98078.98472737358
2016-01-28,99463.67653160554
2016-01-29,101540.6982025194
2016-02-01,101813.7575918603
2016-02-02,96048.01928031795
2016-02-03,97859.20314119301
2016-02-04,97859.20314119301
2016-02-05,97859.20314119301
2016-02-08,97859.20314119301
2016-02-09,97859.20314119301
2016-02-10,97859.20314119301
2016-02-11,97859.20314119301
2016-02-12,97859.20314119301
2016-02-16,97859.20314119301
2016-02-17,97859.20314119301
2016-02-18,97859.20314119301
2016-02-19,97859.20314119301
2016-02-22,97859.20314119301
2016-02-23,96810.84928636163
2016-02-24,97735.2943395686
2016-02-25,99977.40511782019
2016-02-26,99747.94506658174
2016-02-29,97109.43748865348
2016-03-01,106401.66530814921
2016-03-02,106516.37462562352
2016-03-03,105919.8419973813
2016-03-04,106103.35757773825
2016-03-07,104130.25101536963
2016-03-08,101376.97889824725
2016-03-09,103315.70303731949
2016-03-10,102925.68583573487
2016-03-11,108260.10396933339
2016-03-14,108891.03282630195
2016-03-15,108822.21275798934
2016-03-16,111598.42949969257
2016-03-17,111277.18404741574
2016-03-18,111919.6197302496
2016-03-21,113250.39415050899
2016-03-22,114259.88860491666
2016-03-23,111541.04723009552
2016-03-24,111506.63029322424
2016-03-28,111105.09936305936
2016-03-29,116416.60738565189
2016-03-30,118160.30221578688
2016-03-31,117471.96347836136
2016-04-01,121383.9391368167
2016-04-04,119881.03861591108
2016-04-05,116657.52594375082
2016-04-06,122244.30733687879
2016-04-07,116967.26457016236
2016-04-08,116691.94288062211
2016-04-11,115441.46084096574
2016-04-12,118137.34378577609
2016-04-13,122749.07527222755
2016-04-14,122829.38145826054
2016-04-15,121888.70707216546
2016-04-18,123689.74965832263
2016-04-19,121556.01001574313
2016-04-20,121854.30394072414
2016-04-21,121888.70707216546
2016-04-22,116370.71813649019
2016-04-25,116278.95344359675
2016-04-26,114684.31584065757
2016-04-27,111931.05752896515
2016-04-28,112298.20078180626
2016-04-29,112298.20078180626
2016-05-02,112298.20078180626
2016-05-03,112298.20078180626
2016-05-04,112298.20078180626
2016-05-05,112298.20078180626
2016-05-06,112298.20078180626
2016-05-09,112298.20078180626
2016-05-10,112298.20078180626
2016-05-11,112298.20078180626
2016-05-12,112298.20078180626
2016-05-13,112298.20078180626
2016-05-16,112298.20078180626
2016-05-17,110982.98719085549
2016-05-18,111382.80685098181
2016-05-19,110804.1107403194
2016-05-20,112024.64191515587
2016-05-23,111877.30043921519
2016-05-24,114118.46589713509
2016-05-25,114939.11703306455
2016-05-26,115275.83224183963
2016-05-27,115875.54879371896
2016-05-31,116088.91340028282
2016-06-01,116133.45801211208
2016-06-02,116788.83331394456
2016-06-03,115189.11758882417
2016-06-06,116422.22260260188
2016-06-07,115600.19269960986
2016-06-08,116111.17233746641
2016-06-09,115600.19269960986
2016-06-10,111712.0175948578
2016-06-13,108845.8953469361
2016-06-14,107957.18168029825
2016-06-15,107957.18168029825
2016-06-16,107957.18168029825
2016-06-17,107957.18168029825
2016-06-20,107957.18168029825
2016-06-21,107957.18168029825
2016-06-22,107957.18168029825
2016-06-23,107957.18168029825
2016-06-24,107957.18168029825
2016-06-27,107957.18168029825
2016-06-28,107957.18168029825
2016-06-29,107957.18168029825
2016-06-30,107957.18168029825
2016-07-01,107957.18168029825
2016-07-05,107866.80334846789
2016-07-06,108750.47927055646
2016-07-07,109071.83015055115
2016-07-08,110758.78885666568
2016-07-11,111391.41684414659
2016-07-12,111761.22557828393
