date,action,asset,price,shares,pnl,reason
2016-01-27,BUY,QQQ,95.1566947314919,1050.8982082887042,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2016-02-02,SELL,QQQ,96.43718490667682,1050.8982082887042,1345.6648308331205,"TQQQ entry: Confirmed Up, RT <= 1.40"
2016-02-02,BUY,TQQQ,1.7737528171198218,57136.29534660632,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2016-02-03,SELL,TQQQ,1.7127327305270497,57136.29534660632,-3486.461689640113,TQQQ 5% loss exit
2016-02-23,BUY,QQQ,95.27733215522096,1027.0984811137007,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2016-02-25,SELL,QQQ,95.35155206658791,1027.0984811137007,76.23115823339322,"TQQQ entry: Confirmed Up, RT <= 1.40"
2016-02-25,BUY,TQQQ,1.6913364647033824,57904.17007097508,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2016-04-28,SELL,TQQQ,1.939380197387487,57904.17007097508,14362.766482379855,TQQQ Confirmed-Down proxy exit
2016-05-17,BUY,QQQ,99.32911669963958,1130.5667916224784,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2016-05-31,SELL,QQQ,102.63295216574093,1130.5667916224784,3735.20666295875,"TQQQ entry: Confirmed Up, RT <= 1.40"
2016-05-31,BUY,TQQQ,2.06934525393979,56072.522081006566,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2016-06-14,SELL,TQQQ,1.9253134632384685,56072.522081006566,-8076.225764466755,TQQQ 5% loss exit
2016-07-05,BUY,QQQ,100.32150429521035,1076.112070275769,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2016-07-12,SELL,QQQ,104.14738698623532,1076.112070275769,4117.078543271113,"TQQQ entry: Confirmed Up, RT <= 1.40"
2016-07-12,BUY,TQQQ,2.1279884869064905,52666.760611329475,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2016-09-01,SELL,TQQQ,2.409514855874614,52666.760611329475,14827.081880220969,TQQQ Confirmed-Down proxy exit
2016-09-16,BUY,TQQQ,2.4612229884771946,51560.27824293426,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2016-10-12,SELL,TQQQ,2.474496848143994,51560.27824293426,684.4038977778255,TQQQ Confirmed-Down proxy exit
2016-10-28,BUY,QQQ,109.9182509713796,1160.7330436397572,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2016-11-18,SELL,QQQ,110.2924395671881,1160.7330436397572,434.3330677080812,"TQQQ entry: Confirmed Up, RT <= 1.40"
2016-11-18,BUY,TQQQ,2.471723813034434,51793.84460115357,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2016-12-02,SELL,TQQQ,2.3241253867490683,51793.84460115357,-7644.6899543990585,TQQQ 5% loss exit
2017-06-30,BUY,QQQ,130.08118351920157,925.386638238176,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2017-07-17,SELL,QQQ,134.12560819929467,925.386638238176,3742.656558318864,"TQQQ entry: Confirmed Up, RT <= 1.40"
2017-07-17,BUY,TQQQ,4.277374470893232,29017.343821027862,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2017-08-04,SELL,TQQQ,4.396246127644427,29017.343821027862,3449.339734524634,TQQQ Confirmed-Down proxy exit
2017-08-17,BUY,TQQQ,4.379998452114539,29124.98413010506,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2017-08-21,SELL,TQQQ,4.153747885955635,29124.98413010506,-6589.544148805362,TQQQ 5% loss exit
2017-09-01,BUY,TQQQ,4.610212264754755,26241.273570806152,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2017-09-19,SELL,TQQQ,4.571380986243114,26241.273570806152,-1018.9822025281173,TQQQ Confirmed-Down proxy exit
2017-10-09,BUY,TQQQ,4.750877019395475,25249.834623513652,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-01-29,SELL,TQQQ,7.168316159675483,25249.834623513652,61039.93850447923,TQQQ 50% profit exit
2018-02-21,BUY,TQQQ,6.473317310783197,27960.748542228906,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-03-23,SELL,TQQQ,6.030720925798751,27960.748542228906,-12375.326226249628,TQQQ 5% loss exit
2018-04-12,BUY,QQQ,152.91808878054334,1102.704543846429,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2018-04-13,SELL,QQQ,154.59662744431162,1102.704543846429,1850.9322115592076,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-04-13,BUY,TQQQ,5.943945737941308,28680.343169690506,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-04-25,SELL,TQQQ,5.455386567045987,28680.343169690506,-14012.04467997729,TQQQ 5% loss exit
2018-05-10,BUY,TQQQ,6.478469212342187,24151.13103696178,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-07-05,SELL,TQQQ,6.833892979819826,24151.13103696178,8583.885982003092,TQQQ Confirmed-Down proxy exit
2018-07-11,BUY,TQQQ,7.31056511840972,22576.40034319325,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-07-30,SELL,TQQQ,7.4829280270661584,22576.40034319325,3891.3340301449934,TQQQ Confirmed-Down proxy exit
2018-09-21,BUY,TQQQ,8.351875024040863,20227.50321239963,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-10-08,SELL,TQQQ,7.5887234827016306,20227.50321239963,-15436.650253987056,TQQQ 5% loss exit
2018-10-25,BUY,QQQ,159.86191966261035,960.2094666967873,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2018-11-08,SELL,QQQ,166.3835704991917,960.2094666967873,6262.150871776452,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-11-08,BUY,TQQQ,6.750683770982804,23666.206997113855,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-11-12,SELL,TQQQ,6.240726462923926,23666.206997113855,-12068.75521221236,TQQQ 5% loss exit
2019-01-08,BUY,TQQQ,4.8433947703110904,30493.967823819872,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2019-04-08,SELL,TQQQ,7.2730275188582025,30493.967823819872,74089.14285789468,TQQQ 50% profit exit
2019-06-14,BUY,TQQQ,6.843171358717392,32409.45689008541,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2019-08-12,SELL,TQQQ,7.058695240568735,32409.45689008541,6985.011957644951,TQQQ Confirmed-Down proxy exit
2019-08-20,BUY,TQQQ,7.312321780699697,31285.340820651523,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2019-08-26,SELL,TQQQ,6.845553143063975,31285.340820651523,-14603.015912824776,TQQQ 5% loss exit
2019-09-12,BUY,TQQQ,7.904117971462724,27095.428479163445,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2019-09-25,SELL,TQQQ,7.234923742336098,27095.428479163445,-18132.10437396943,TQQQ 5% loss exit
2019-10-14,BUY,TQQQ,7.531417512425096,26028.74671192502,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-01-14,SELL,TQQQ,11.504307104136542,26028.74671192502,103409.33689710041,TQQQ 50% profit exit
2020-03-16,BUY,QQQ,167.64747559955362,1786.144972591326,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2020-03-27,SELL,QQQ,180.33373263115413,1786.144972591326,22659.494217994623,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-03-27,BUY,TQQQ,5.4353023386408115,59261.13578592784,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-04-02,SELL,TQQQ,4.907615382981635,59261.13578592784,-31271.328331781377,TQQQ 5% loss exit
2020-05-06,BUY,TQQQ,8.28338707961735,35110.13777342611,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-07-07,SELL,TQQQ,13.168367801922267,35110.13777342611,171512.34618065623,TQQQ 50% profit exit
2020-08-07,BUY,TQQQ,15.559043732907629,29715.39997659212,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-08-12,SELL,TQQQ,14.42505289842761,29715.39997659212,-33696.99121636321,TQQQ 5% loss exit
2020-09-29,BUY,QQQ,267.322941207844,1603.477107589516,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2020-10-06,SELL,QQQ,270.0579033788415,1603.477107589516,4385.449231317791,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-10-06,BUY,TQQQ,15.769881968539236,27459.410708050178,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-10-27,SELL,TQQQ,15.993821507871099,27459.410708050178,6149.247784285166,TQQQ Confirmed-Down proxy exit
2020-11-12,BUY,TQQQ,17.254082026480173,25453.73975282252,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-11-23,SELL,TQQQ,17.369618592724002,25453.73975282252,2940.8376891051885,TQQQ Confirmed-Down proxy exit
2020-11-25,BUY,TQQQ,18.072409888915477,24463.906805044015,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2021-01-05,SELL,TQQQ,20.521455417235902,24463.906805044015,59913.22156614065,TQQQ Confirmed-Down proxy exit
2021-01-08,BUY,TQQQ,22.31177685712979,22500.896098317608,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2021-01-19,SELL,TQQQ,21.613754080505558,22500.896098317608,-15706.137971081014,TQQQ 5% loss exit
2021-03-15,BUY,QQQ,305.7295988118373,1590.715575953629,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2021-03-18,SELL,QQQ,306.77511128090794,1590.715575953629,1663.1129694043775,"TQQQ entry: Confirmed Up, RT <= 1.40"
2021-03-18,BUY,TQQQ,21.348121842112548,22858.776591147554,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2021-03-26,SELL,TQQQ,20.183162352489326,22858.776591147554,-26629.54871103447,TQQQ 5% loss exit
2021-04-06,BUY,TQQQ,24.147373426516964,19106.111085844954,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2021-05-03,SELL,TQQQ,25.910297104331832,19106.111085844954,33682.61562419718,TQQQ Confirmed-Down proxy exit
2021-05-26,BUY,QQQ,323.43828770635344,1530.570231042212,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2021-05-27,SELL,QQQ,323.4480270791408,1530.570231042212,14.906794057344086,"TQQQ entry: Confirmed Up, RT <= 1.40"
2021-05-27,BUY,TQQQ,24.38798503809898,20299.336774370007,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2021-08-19,SELL,TQQQ,30.43197807873222,20299.336774370007,122689.05019376281,TQQQ Confirmed-Down proxy exit
2021-08-24,BUY,TQQQ,33.97450279968995,18182.722948812912,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2021-09-20,SELL,TQQQ,32.26161009209357,18182.722948812912,-31145.053543266957,TQQQ Confirmed-Down proxy exit
2021-10-14,BUY,TQQQ,30.99659477382954,18924.7858504262,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2021-12-06,SELL,TQQQ,35.875623081308035,18924.7858504262,92334.56587719789,TQQQ Confirmed-Down proxy exit
2021-12-20,BUY,QQQ,369.2481385657117,1838.705231396955,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2022-02-07,SELL,QQQ,348.86774024734893,1838.705231396955,-37473.54500592733,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-02-07,BUY,TQQQ,28.14493310603435,22791.4892048865,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-02-14,SELL,TQQQ,25.20512779650307,22791.4892048865,-67002.5409766502,TQQQ 5% loss exit
2022-03-10,BUY,QQQ,321.8237906176218,1785.0215392072666,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2022-03-23,SELL,QQQ,344.8088475078949,1785.0215392072666,41028.821629041806,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-03-23,BUY,TQQQ,25.996064684539448,23676.322827311444,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-04-12,SELL,TQQQ,23.899606453397986,23676.322827311444,-49636.42187447951,TQQQ 5% loss exit
2022-05-12,BUY,QQQ,279.9788270613995,2021.0628202691,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2022-06-03,SELL,QQQ,300.997978827493,2021.0628202691,42481.0261480452,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-06-03,BUY,TQQQ,15.790128963809293,38526.33663592535,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-06-10,SELL,TQQQ,13.464971398439474,38526.33663592535,-89579.80309500621,TQQQ 5% loss exit
2022-06-30,BUY,TQQQ,11.463808515718636,45251.62996033053,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-07-13,SELL,TQQQ,11.358985045234396,45251.62996033053,-4743.432897510473,TQQQ Confirmed-Down proxy exit
2022-07-28,BUY,TQQQ,14.618022081362732,35162.93689603987,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-08-29,SELL,TQQQ,13.984320594599014,35162.93689603987,-22282.805389999237,TQQQ Confirmed-Down proxy exit
2022-09-19,BUY,QQQ,279.7013441584104,1758.0529835544232,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2022-10-25,SELL,QQQ,273.16100158374826,1758.0529835544232,-11498.268776852812,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-10-25,BUY,TQQQ,10.234520858051319,46922.71582476999,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-10-28,SELL,TQQQ,9.410233001964482,46922.71582476999,-38677.82482897153,TQQQ 5% loss exit
2022-11-25,BUY,TQQQ,10.644283246795167,41482.707549049555,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-11-29,SELL,TQQQ,10.15828355676375,41482.707549049555,-20160.583010501985,TQQQ Confirmed-Down proxy exit
2022-12-02,BUY,TQQQ,10.696694034523983,39394.70500189007,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-12-07,SELL,TQQQ,9.79617096146859,39394.70500189007,-35475.840810412716,TQQQ 5% loss exit
2023-01-10,BUY,QQQ,264.0935545337913,1461.2899805767809,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2023-01-12,SELL,QQQ,272.55075772684324,1461.2899805767809,12358.426289708761,"TQQQ entry: Confirmed Up, RT <= 1.40"
2023-01-12,BUY,TQQQ,9.348915741982777,42601.270827196146,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2023-03-01,SELL,TQQQ,10.565423161476714,42601.270827196146,51824.762041154725,TQQQ Confirmed-Down proxy exit
2023-03-14,BUY,QQQ,288.4165910413327,1560.5914066209073,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2023-03-15,SELL,QQQ,288.8084733222772,1560.5914066209073,611.5681200489635,"TQQQ entry: Confirmed Up, RT <= 1.40"
2023-03-15,BUY,TQQQ,10.618106595260832,42447.49453044813,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2023-05-30,SELL,TQQQ,17.491706742102224,42447.49453044813,291767.10463753744,TQQQ 50% profit exit
2023-08-31,BUY,TQQQ,20.316084749044116,36546.36882229589,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2023-09-18,SELL,TQQQ,19.054789029263336,36546.36882229589,-46095.77856909146,TQQQ 5% loss exit
2023-10-09,BUY,TQQQ,17.754320601517016,39223.31714765773,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2023-10-23,SELL,TQQQ,16.328542873215564,39223.31714765773,-55923.7320192348,TQQQ 5% loss exit
2023-11-09,BUY,TQQQ,19.078255505800108,33570.13514577106,,"TQQQ entry: Confirmed Up, RT <= 1.40"
