date,spy_price,long_strike,short_strike,debit,pnl,roi,win
2019-09-03,266.2,253,274,13.38,5.76,0.43,true
2019-09-06,272.89,259,281,14.05,0.91,0.06,true
2019-09-09,273.03,259,281,14.11,1.2,0.09,true
2019-09-10,272.97,259,281,14.08,2.33,0.17,true
2019-09-13,275.68,262,284,13.97,1.0,0.07,true
2019-09-16,274.82,261,283,14.03,1.97,0.14,true
2019-09-17,275.52,262,284,13.89,3.66,0.26,true
2019-09-20,274.36,261,283,13.8,5.87,0.43,true
2019-09-23,274.3,261,283,13.77,6.63,0.48,true
2019-09-24,272.15,259,280,13.39,9.71,0.73,true
2019-09-27,271.72,258,280,13.93,9.63,0.69,true
2019-09-30,272.98,259,281,14.06,9.59,0.68,true
2019-10-01,269.73,256,278,13.93,14.78,1.06,true
2019-10-04,270.75,257,279,13.95,13.96,1.0,true
2019-10-07,269.58,256,278,13.87,13.44,0.97,true
2019-10-08,265.4,252,273,13.45,18.49,1.37,true
2019-10-11,272.52,259,281,13.87,13.28,0.96,true
2019-10-15,274.92,261,283,14.1,11.92,0.85,true
2019-10-18,274.08,260,282,14.17,10.39,0.73,true
2019-10-21,275.94,262,284,14.1,8.82,0.63,true
2019-10-22,275.04,261,283,14.14,12.39,0.88,true
2019-10-25,277.42,264,286,13.86,8.76,0.63,true
2019-10-28,278.98,265,287,14.15,10.46,0.74,true
2019-10-29,278.9,265,287,14.11,10.68,0.76,true
2019-11-01,281.59,268,290,13.98,9.81,0.7,true
2019-11-04,282.73,269,291,14.04,10.04,0.72,true
2019-11-05,282.41,268,291,14.66,11.72,0.8,true
2019-11-08,284.17,270,293,14.56,10.27,0.71,true
2019-11-11,283.63,269,292,14.8,12.62,0.85,true
2019-11-12,284.22,270,293,14.57,11.78,0.81,true
2019-11-15,286.79,272,295,14.92,7.78,0.52,true
2019-11-18,287.0,273,296,14.46,10.74,0.74,true
2019-11-19,286.92,273,296,14.41,8.52,0.59,true
2019-11-22,286.03,272,295,14.48,10.59,0.73,true
2019-11-25,288.24,274,297,14.61,11.24,0.77,true
2019-11-26,288.9,274,298,15.25,9.73,0.64,true
2019-11-29,289.11,275,298,14.53,11.52,0.79,true
2019-12-02,286.65,272,295,14.75,17.05,1.16,true
2019-12-03,284.73,270,293,14.76,19.99,1.35,true
2019-12-09,288.71,274,297,14.76,15.78,1.07,true
2019-12-10,288.39,274,297,14.61,13.2,0.9,true
2019-12-13,291.88,277,301,15.2,4.75,0.31,true
2019-12-16,293.88,279,303,15.23,6.58,0.43,true
2019-12-17,293.95,279,303,15.26,1.08,0.07,true
2019-12-20,296.46,282,305,14.74,0.83,0.06,true
2019-12-23,296.92,282,306,15.25,9.38,0.62,true
2019-12-24,296.93,282,306,15.24,7.75,0.51,true
2019-12-27,298.43,284,307,14.71,8.57,0.58,true
2019-12-30,296.79,282,306,15.13,12.35,0.82,true
2019-12-31,297.51,283,306,14.74,12.24,0.83,true
2020-01-06,299.15,284,308,15.34,10.04,0.65,true
2020-01-07,298.31,283,307,15.43,7.75,0.5,true
