date,strategy,QQQ,SPY,TQQQ_naive
2016-06-01,1.0,1.0,1.0,1.0
2016-06-02,1.003104172372866,1.0020842772995016,1.0030437057117039,1.0045871559633026
2016-06-03,1.0124166894914637,0.9973719981875849,1.0000475579017452,0.9908256880733944
2016-06-05,1.0124166894914637,0.9973719981875849,1.0000475579017452,0.9908256880733944
2016-06-06,1.009769013055784,1.0009968282736745,1.0051362533885002,1.0045871559633026
2016-06-07,1.0112298000547797,0.998459447213412,1.0067056641460976,0.9954128440366972
2016-06-08,1.0124166894914635,1.0001812415043045,1.0099871593665284,0.9954128440366972
2016-06-09,1.0139687756778963,0.998550067965564,1.0086079802159127,0.9954128440366972
2016-06-10,1.0175294439879485,0.9872224739465336,0.9990488419650921,0.963302752293578
2016-06-12,1.0175294439879485,0.9872224739465336,0.9990488419650921,0.963302752293578
2016-06-13,1.0195380261115676,0.9789759855006794,0.9913444618823415,0.9357798165137614
2016-06-14,1.0192641285492556,0.9789759855006794,0.9893945879107812,0.9357798165137614
2016-06-15,1.0223683009221216,0.9761667421839599,0.9880154087601652,0.9311926605504586
2016-06-16,1.023463891171368,0.9790666062528317,0.9909639986683786,0.9357798165137614
2016-06-17,1.0199945220487534,0.965020389669234,0.9821657868454842,0.9036697247706421
2016-06-19,1.0199945220487534,0.965020389669234,0.9821657868454842,0.9036697247706421
2016-06-20,1.015612161051766,0.9710919800634342,0.988490987777619,0.9220183486238531
2016-06-21,1.0133296813658352,0.9741730856366106,0.9912969039805963,0.9311926605504584
2016-06-22,1.0153382634894543,0.9718169460806524,0.9896799353212536,0.9220183486238531
2016-06-23,1.010499406555281,0.9856819211599455,1.0025681266942503,0.9633027522935778
2016-06-24,1.0244681822331774,0.9450838241957407,0.9665667950730015,0.8440366972477062
2016-06-26,1.0244681822331774,0.9450838241957407,0.9665667950730015,0.8440366972477062
2016-06-27,1.0333242034145889,0.9263253285002263,0.9492557188376849,0.7935779816513759
2016-06-28,1.0331416050397144,0.9466243769823288,0.9663765634660199,0.8440366972477064
2016-06-29,1.0289418424176018,0.9633892161304937,0.9828315974699195,0.889908256880734
2016-06-30,1.0312243221035324,0.9745355686452197,0.9962429257621152,0.9220183486238531
2016-07-01,1.0325025107276538,0.9794290892614409,0.9983354734389115,0.9357798165137614
2016-07-04,1.0325025107276538,0.9794290892614409,0.9983354734389115,0.9357798165137614
2016-07-05,1.009995644008795,0.9734481196193929,0.9911542302753598,0.9174311926605504
2016-07-06,1.0268757940479392,0.9814227458087902,0.9970989679935315,0.9403669724770641
2016-07-07,1.0296891523877967,0.9843226098776622,0.9964807152708417,0.9495412844036696
2016-07-08,1.0775162441653718,0.9995468962392388,1.0113187806153987,0.9908256880733944
2016-07-10,1.0775162441653718,0.9995468962392388,1.0113187806153987,0.9908256880733944
2016-07-11,1.0972097525443734,1.0052560036248301,1.0148856232463017,1.0045871559633026
2016-07-12,1.12252997760309,1.0103307657453557,1.0222570980168346,1.0229357798165137
2016-07-13,1.1253433359429472,1.007884005437245,1.0221144243115983,1.0183486238532111
2016-07-14,1.1478502026618063,1.0147711826008157,1.0278213725210437,1.036697247706422
2016-07-15,1.1422234859820914,1.0131400090620755,1.0264421933704277,1.0321100917431194
2016-07-17,1.1422234859820914,1.0131400090620755,1.0264421933704277,1.0321100917431194
2016-07-18,1.1647303527009503,1.0198459447213415,1.0292005516716594,1.0550458715596334
2016-07-19,1.1591036360212355,1.0161304938830997,1.028154277833261,1.041284403669725
2016-07-20,1.2041173694589533,1.0280018124150434,1.032434488990345,1.077981651376147
2016-07-21,1.1844238610799513,1.0256456728590853,1.028534741047224,1.0733944954128445
2016-07-22,1.2041173694589533,1.0299048482102406,1.0331478575165254,1.0825688073394497
2016-07-24,1.2041173694589533,1.0299048482102406,1.0331478575165254,1.0825688073394497
2016-07-25,1.1984906527792385,1.0299954689623927,1.0303419413135482,1.0825688073394497
2016-07-26,1.2069307277988106,1.031173538740372,1.030817520331002,1.0871559633027525
2016-07-27,1.2350643111973842,1.0383325781603991,1.0297236885908583,1.1100917431192665
2016-07-28,1.2435043862169568,1.0419574082464889,1.0309126361344927,1.119266055045872
2016-07-29,1.2519444612365287,1.0442229270502947,1.0325771626955809,1.1284403669724774
2016-07-31,1.2519444612365287,1.0442229270502947,1.0325771626955809,1.1284403669724774
2016-08-01,1.2603845362561008,1.0497507929315815,1.0317211204641643,1.1467889908256885
