date,strategy_sector_rotation,strategy_regime_risk_on_off,QQQ,SPY,risk_on
2019-05-15,2.156036381336101,2.1189239420239425,1.6591753511554126,1.355685547153658,1
2019-05-16,2.156036381336101,2.1189239420239425,1.6758495695514253,1.3682408332144367,1
2019-05-17,2.156036381336101,2.1189239420239425,1.6587222473946512,1.359395063489797,1
2019-05-20,2.156036381336101,2.1189239420239425,1.6307204349796083,1.3504066200599214,1
2019-05-21,2.156036381336101,2.1189239420239425,1.64775713638423,1.362581442906737,1
2019-05-22,2.156036381336101,2.1189239420239425,1.6404168554598983,1.3583963475531444,1
2019-05-23,2.156036381336101,2.1189239420239425,1.6153149071137272,1.3417986398440085,1
2019-05-24,2.156036381336101,2.1189239420239425,1.614499320344357,1.3448423455557124,1
2019-05-27,2.156036381336101,2.1189239420239425,1.614499320344357,1.3448423455557124,1
2019-05-28,2.156036381336101,2.1189239420239425,1.6084277299501568,1.3323346173966788,1
2019-05-29,2.156036381336101,2.1189239420239425,1.5951971001359293,1.3233937318685483,1
2019-05-30,2.156036381336101,2.1189239420239425,1.6019030357951953,1.3270081324011966,1
2019-05-31,2.156036381336101,2.1189239420239425,1.5763479836882626,1.3091263613449358,0
2019-06-03,2.156036381336101,2.1189239420239425,1.5416402356139538,1.3057973082227594,0
2019-06-04,2.148140258350069,2.1111637371456276,1.5850475758948777,1.3341418176630029,1
2019-06-05,2.148140258350069,2.1111637371456276,1.5968282736746697,1.3456983877871291,1
2019-06-06,2.147745452200767,2.1107757269017116,1.6095151789759834,1.3544490417082784,1
2019-06-07,2.1562337844107518,2.1191179471459,1.6405980969642027,1.36800304370571,1
2019-06-10,2.1455740183796084,2.1086416705601745,1.659719075668326,1.3742806867361,1
2019-06-11,2.1455740183796084,2.1086416705601745,1.6619845944721319,1.3739477814238816,1
2019-06-12,2.151101304469831,2.114073813974995,1.6523787947439943,1.3715223284348677,1
2019-06-13,2.1564311874854027,2.1193119522678576,1.6621658359764364,1.377181718742567,1
2019-06-14,2.1580104120826094,2.1208639932435207,1.6550974173085615,1.375659865886715,1
2019-06-17,2.1576156059333074,2.1204759829996047,1.6650657000453084,1.376183002805914,1
2019-06-18,2.161761070500974,2.12455009056072,1.6892614408699569,1.3905930470347625,1
2019-06-19,2.167683162740498,2.1303702442194563,1.6956048935206143,1.3937318685499573,1
2019-06-20,2.171236418084213,2.1338623364146985,1.7113729043951043,1.4070480810386625,1
2019-06-21,2.1623532797249267,2.125132105926594,1.7088355233348416,1.3982023113140225,1
2019-06-24,2.169854596561657,2.132504300560993,1.7051200724965996,1.396490226851189,1
2019-06-25,2.173210448830721,2.1358023876342775,1.6758495695514253,1.382793551148521,1
2019-06-26,2.1643273104714345,2.1270721571461726,1.6836429542365179,1.3814143719979053,1
2019-06-27,2.170841611934911,2.1334743261707825,1.6900770276393273,1.3863128358776788,1
2019-06-28,2.171828627308165,2.134444351780572,1.692251925690981,1.3934465211394849,1
2019-07-01,2.1653143258446885,2.128042182755962,1.7150883552333462,1.4060969230037548,1
2019-07-02,2.1795086551468286,2.1434441768410477,1.7218849116447645,1.4097588814381485,1
2019-07-03,2.211343316868902,2.187083160082123,1.7348436792025352,1.421030104151802,1
2019-07-04,2.211343316868902,2.187083160082123,1.7348436792025352,1.421030104151802,1
2019-07-05,2.205124932382542,2.179382163039581,1.731309469868598,1.4194131354924595,1
2019-07-08,2.1771422021939206,2.1267586832488723,1.7191662890801973,1.411613639606218,1
2019-07-09,2.191066643954839,2.1472946753623194,1.7277752605346606,1.413373281970797,1
2019-07-10,2.2216187913041967,2.1960676566317563,1.7449932034435864,1.4201265040186404,1
2019-07-11,2.224591942672941,2.221737646773565,1.743724512913455,1.4234555571408165,1
2019-07-12,2.247910884496791,2.2717941275500926,1.7537834164023538,1.4298283159746967,1
2019-07-15,2.2547381616066398,2.2897631206493583,1.759401903035793,1.4303038949921505,1
2019-07-16,2.23588004393973,2.2268716448019266,1.7503398278205686,1.425690778522849,1
2019-07-17,2.2097909149549646,2.211469650716842,1.7417308563661054,1.4159889665667926,1
2019-07-18,2.2214158270963678,2.261526131493369,1.743724512913455,1.4211727778570384,1
2019-07-19,2.189917976248908,2.2230211462806553,1.7309469868599887,1.4132781661673064,1
2019-07-22,2.2139818515706837,2.3064486142415337,1.74472134118713,1.4167498929947182,1
2019-07-23,2.243586101214287,2.3411031009329757,1.7561395559583124,1.4268797260664832,1
2019-07-24,2.269541383532267,2.4014275777662273,1.7684639782510172,1.433585390212581,1
